Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
"PLN2006-00195","Rezoning - Mixed Use","Approved","","09/12/2005","","","Plan","18150 COCKPIT POINT RD","8389-60-1576","SUPERCEDED BY PRA #PLN2010-00454 - HARBOR STATION SOUTH ADDITION - A-1 AND M-1 TO PBD (93.8 AC); M-1 AND B-1 TO PMR (89.9 AC); M-1 AND B-1 TO PMD (52.8 AC); REC, CEC, SRM, EI, O, DCR; CONCURRENT WITH REZ #PLN2006-00194 AND PROPOSED CPA PENDING INITIATION.  1,193 MAXIMUM RESIDENTIAL UNITS."
"PLN2007-00553","Rezoning - Proffer Interpretation/Determination","Closed","","03/14/2007","","","Plan","9651 LIBERIA AV","7895-25-7169","PRI / EVERGREEN TERRACE RE: SWM/BMP POND"
"PLN2007-00715","Rezoning - Proffer Interpretation/Determination","Closed","","05/21/2007","","","Plan","13311 MINNIEVILLE RD","8292-65-0454","PRI / CATON'S RIDGE - PROFFER #43 - SATISFACTION - GEORGE MASON UNIVERSITY"
"PLN2007-00322","Rezoning - Proffer Amendment","Approved","","12/05/2006","","","Plan","15453 LEE HY","7297-40-9711","SUPERSEDED BY PLN2008-00203 - zoned and designated Residential Planned Community (RPC)"
"PLN2007-00758","Rezoning - Proffer Interpretation/Determination","Rejected","","06/07/2007","","","Plan","8126 PINEY BRANCH LN","7496-58-1886","PRI / BRISTOW INDUSTRICL PARK - SEEN & AGREED LTR STATING THAT M/T USES ARE NOT PROHIBITED BY PROFFER #1.D"
"PLN2005-00301","Rezoning - Residential","Approved","","02/21/2005","","","Plan","7055 TOKEN VALLEY RD","7992-15-9124","REQUEST FOR 25 ACRES TO BE REZONED FROM A-1 TO SR-1 FOR A MAXIMUM OF 12 SFD"
"PLN2005-00279","Rezoning - Proffer Interpretation/Determination","Closed","","02/03/2005","","","Plan","10200 STADLER PL","7595-52-5829","PROFFER INTERPRETATION - STADLER GARDEN CENTER SUP PLN2003 - 00295"
"PLN2006-00560","Rezoning - Proffer Interpretation/Determination","Closed","","02/16/2006","","","Plan","1400 G ST","8392-77-7415","SUP CONDITIONS INTERPRETATION - PLN2005-00106, RE:  MAXIMUM BUILDING AREA"
"PLN2009-00484","Rezoning - Proffer Interpretation/Determination","Closed","","05/13/2009","","","Plan","12701 BRAEMAR VILLAGE PZ","7495-77-7264","PRI / BRAEMAR - INTERPARCEL CONNECTORS"
"PLN2009-00022","Rezoning - Proffer Amendment","Approved","","07/10/2008","","","Plan","15524 FARM CREEK DR","8390-89-3734","PRA RIPPON CENTER (PMR AMENDMENT); PMR; WITHIN POTOMAC COMMUNITIES; MTN"
"PLN2007-00012","Rezoning - Proffer Interpretation/Determination","Closed","","07/12/2006","","","Plan","2610 CHERRY HILL RD","8288-57-9567","PRI FOR PLN2000-00077 RE: REALIGNMENTS"
"PLN2007-00467","Rezoning - Proffer Interpretation/Determination","Closed","","02/20/2007","","","Plan","14620 LIGHTNER RD","7398-28-5041","PRI / PROFFERED IMPROVEMENTS TO ROUTE 15"
"PLN2007-00192","Rezoning - Proffer Interpretation/Determination","Closed","","09/28/2006","","","Plan","13595 RYTON RIDGE LN","7497-09-3635","PRI / CANNON PROPERTY / REZ1990-0076: PROFFER 1.b., RE: NUMBER OF ENTRANCES ALLOWED FROM BALLS FORD ROAD"
"PLN2006-00765","Rezoning - Residential","Approved","","05/09/2006","","","Plan","8131 BETHLEHEM RD","7596-88-3377","REQUEST TO REZONE +/- 1.4 ACRES OF A-1 LAND TO R-16 WITH A MAXIMUM OF 18, 2 OVER 2, RESIDENTIAL DWELLING UNITS"
"PLN2007-00522","Rezoning - Non-Residential","Approved","","03/08/2007","","","Plan","9538 GODWIN DR","7695-58-1975","REZ, A-1 TO M-2, REC AND PART OF TEOD WITH EO SUBDISTRICT DESIGNATION."
"PLN2007-00146","Rezoning - Non-Residential","Approved","","08/18/2006","","","Plan","3695 ELM FARM RD","8192-95-1352","REZ ENGLISH OAKS II COMMERCE CENTER; A-1 TO O(M); Office"
"PLN2007-00795","Rezoning - Non-Residential","Withdrawn","","06/15/2007","","","Plan","6651 WELLINGTON RD","7496-89-6488","TO REZONE TWO PARCELS, +/-11.12 ACRES, FROM M-2 TO M-1 TO ALLOW ADDITIONAL HEAVY INDUSTRIAL USES"
"PLN2005-00288","Rezoning - Proffer Interpretation/Determination","Closed","","02/08/2005","","","Plan","5200 HOADLY RD","8093-72-3033","PROFFER INTERPRETATION - AMERADA HESS AT HOADLY ROAD"
"PLN2008-00174","Rezoning - Proffer Interpretation/Determination","Closed","","10/01/2007","","","Plan","4877 OCCOQUAN CLUB DR","8194-41-9165","INTERPRETATION OF PRFFER #31 "
"PLN2006-00903","Rezoning - Residential","Withdrawn","","06/16/2006","","","Plan","14635 MINNIEVILLE RD","8091-55-3905","REQUEST TO REZONE 2 PARCELS APPROX. 19.84 ACRES FROM A-1 TO PMR LOW FOR A PROPOSED TOTAL OF 42 SFD"
"PLN2008-00489","Rezoning - Proffer Interpretation/Determination","Closed","","03/12/2008","","","Plan","6217 TOKEN FOREST DR","7993-90-3589","PRI / BEATTY PROP-FOREST GLEN - RE: PROFFER #8 USES AND DEVELOPMENT"
"PLN2007-00577","Rezoning - Proffer Interpretation/Determination","Closed","","03/20/2007","","","Plan","10604 BRISTOW RD","7594-68-3079","PRI / NEW BRISTOW VILLAGE RE: OFFICE BUILDING"
"REZ1997-0040","Rezoning - Residential","Superseded","","07/16/1997","","","Plan","4484 OCCOQUAN VIEW CT","8194-73-1671","OCCOQUAN CLUB ESTATES"
"REZ1998-0028","Rezoning - Residential","Approved","","04/15/1998","","","Plan","13689 VAN DOREN RD","7992-43-9695","BROWN PROPERTY"
"REZ1991-0026","Rezoning - Non-Residential","Approved","","12/17/1990","","","Plan","8128 BETHLEHEM RD","7596-78-9783","BATES, HERBERT"
"REZ1990-0059","Rezoning - Residential","Superseded","","03/20/1990","","","Plan","16080 NEABSCO RD","8290-81-7016","TOWNES OF NEWPORT"
"REZ1990-0032","Rezoning - Residential","Approved","","10/18/1989","","","Plan","13480 GRANDPA'S RD","7792-36-0818","WINDSOR ESTATES"
"REZ1988-0067","Rezoning - Mixed Use","Approved","","02/16/1988","","","Plan","11951 BALLS FORD RD","7597-23-8729","RYDER TRUCK RENTAL"
"REZ1958-0016","Rezoning - Mixed Use","Approved","","08/06/1959","","","Plan","1210 SWAN POINT RD","8393-90-1096",""
"REZ1992-0013","Rezoning - Residential","Approved","","02/11/1992","","","Plan","8428 IMPALLA DR","7696-95-9716","IMPALLA DRIVE"
"REZ1996-0042","Rezoning - Proffer Amendment","Approved","","06/13/1996","","","Plan","13745 MARYS WY","8392-73-5506","AMERICAN PATRIOT SELF STORAGE"
"REZ1991-0033","Rezoning - Non-Residential","Approved","","04/26/1991","","","Plan","14088 SHOPPERS BEST WY","8292-51-6174",""
"REZ1990-0072","Rezoning - Residential","Approved","","04/24/1990","","","Plan","1532 OLD MARSH RD","8390-76-8599","RIVERSIDE STATION"
"REZ1958-0073","Rezoning - Residential","Approved","","06/28/1962","","","Plan","4116 ANDERSON RD","8188-54-5899",""
"REZ1958-0069","Rezoning - Mixed Use","Approved","","03/05/1962","","","Plan","7451 GAINESVILLE VILLAGE SQ","7397-54-6527",""
"REZ1958-0059","Rezoning - Mixed Use","Approved","","11/15/1962","","","Plan","9401 LIBERIA AV","7895-28-8769",""
"REZ1984-0049","Rezoning - Residential","Approved","","08/20/1985","","","Plan","","",""
"REZ2021-00013","Rezoning - Proffer Amendment","Withdrawn","Manassas Mall Proffer Amendment","02/26/2021","","","Plan","8300 SUDLEY RD MANASSAS VA 20109","7696-65-8558","Manassas Mall PRA - To amend the proffers associated with #REZ1995-00035 to allow motor vehicle sales.  This is being concurrently processed with a special use permit to allow a recreational motor vehicle sales, rental or lease, repair, motorcycle sales, motorcycle rental or lease, repair, and instructional school, with a signage modification."
"PLN2009-00403","Rezoning - Non-Residential","Approved","GEISLER PROPERTY ","03/30/2009","","","Plan","13709 DUMFRIES RD","7892-53-8485","Geisler Property - To Rezone 9.196 acres from A-1, Agricultural TO B-2, Neighborhood Business, for the development of a shopping center and nursing and convalescent care facility."
"REZ1985-0063","Rezoning - Mixed Use","Approved","","06/19/1985","","","Plan","14200 TELEGRAPH RD","8292-80-6682","WASHINGTON INDUSTRIAL PARK"
"REZ1988-0075","Rezoning - Mixed Use","Approved","","03/21/1988","","","Plan","8422 WELLINGTON RD","7696-02-6087","ALLIANCE MOVING & STORAGE"
"PLN2001-00037","Rezoning - Residential","Approved","","08/15/2000","","","Plan","5700 HOADLY RD","8093-10-9489","REZ MAXFIELD (A-1 TO SRR-1)"
"REZ1989-0044","Rezoning - Residential","Approved","","10/26/1988","","","Plan","12054 LANCERS CT","7993-57-1711","BRANDERMILL"
"PLN2005-00299","Rezoning - Non-Residential","Approved","","02/03/2005","","","Plan","7230 WELLINGTON RD","7596-27-4830","REZ#PLN2005-00299, 3DF ASSOCIATES, LLC
A-1 TO M-2"
"REZ1981-0015","Rezoning - Mixed Use","Approved","","02/05/1981","","","Plan","11992 BALLS FORD RD","7597-23-1988",""
"REZ1987-0028","Rezoning - Mixed Use","Approved","","10/20/1986","","","Plan","12800 DARBY BROOKE CT","8393-51-4046.01",""
"REZ2019-00022","Rezoning - Proffer Amendment","Approved","Blackburn Proffer Amendment","01/11/2019","","","Plan","10920 BALLS FORD RD MANASSAS VA 20109","7597-95-8953","Blackburn Land Bay 5 -  This is a request to amend the proffers of #PLN2014-00040 to expand the permitted uses by adding M-2, Light Industrial to the underlying zoning designation.  The 28.35-acre site is located on the north site of Balls Ford Road at the intersection of Ashton Avenue and Balls Ford Road. The site is identified on County maps as GPIN 7597-95-8953; is zoned PMD, Planned Mixed District; and is designated REC, Regional Employment Center in the Comprehensive Plan. The property also falls within the Data Center Opportunity Overlay District. Gainesville Magisterial District."
"REZ1997-0034","Rezoning - Residential","Approved","","04/15/1997","","","Plan","15625 DUMFRIES RD","7991-90-0992","ASHLAND"
"REZ2022-00002","Rezoning - Residential","Approved","Williams Property","07/16/2021","","","Plan","6702 SOMERSET CROSSING DR HAYMARKET VA 20169","7297-27-9016","Williams Property - To rezone 36.13 acres from A-1, Agricultural, to SR-1C, Semi-Rural Residential Cluster, to allow for the development of up to 25 single-family detached dwelling units with associated open space.  The subject property is located along the south side of Route 15 (James Madison Highway) at its intersection with Somerset Crossing Drive, is currently addressed as 6702 Somerset Crossing Drive, and is identified on County maps as GPIN 7297-27-9016.  The site is currently zoned A-1, Agricultural; is designated SRR, Semi-Rural Residential, and ER, Environmental Resource, in the Comprehensive Plan; and is located within the I-66/Route 29 Sector Plan special planning area and is partially located within the James Madison Highway Corridor Overlay District.  Brentsville Magisterial District"
"REZ2018-00003","Rezoning - Proffer Amendment","Approved","Ashland Square Parcel B ","07/31/2017","","","Plan","15835 SPRIGGS RD WOODBRIDGE VA 22193","8090-58-8302","Ashland Square Parcel B - To amend the proffers associated with REZ #97-0034, applicable to Ashland Square Parcel B, to propose site access improvements, landscape buffer waivers and modifications, and to amend use limitations and various development parameters.  The subject property (Parcel B) is currently located in the northeast quadrant of the intersection of Dumfries Road and Spriggs Road; is currently addressed as 15835 Spriggs Road; and is identified on County maps as GPIN 8090-58-8302.   The site is zoned B-1, General Business; is designated NC, Neighborhood Commercial, in the Comprehensive Plan; and is located within both the Dumfries Road (Route 234) and Spriggs Road Highway Corridor Overlay Districts.  Potomac Magisterial District"
"REZ2022-00005","Rezoning - Non-Residential","Approved","Haymarket Junction Top Shine Car Wash","08/10/2021","","","Plan","6361 JOHN JAMES WAY HAYMARKET VA 20169","7298-61-3823","Haymarket Junction Top Shine Car Wash - To rezone 0.56 acres from M-2, Light Industrial, to B-1, General Business.  This is being concurrently processed with a special use permit to allow a car wash with signage modifications. The subject property is located 440 feet southwest of the intersection of Route 55 and Route 15; 335 feet south of the intersection of Route 55 and John James Way; and is identified on County maps as GPIN 7298-61-3823 (portion). The site is designated REC, Regional Employment Center, in the Comprehensive Plan, and is located in the James Madison Highway Corridor Overlay District. Gainesville Magisterial District."
"PLN2013-00009","Rezoning - Proffer Amendment","Approved","Rivergate Proffer Amendment","07/10/2012","","","Plan","13110 RIVERGATE PL","8492-18-2976","PRA - RIVERGATE PROFFER AMENDMENT - TO AMEND REZ #PLN2005-00565 FROM PLANNED MIXED RESIDENTIAL, PMR, (URBAN HIGH) TO PMR (URBAN) - TO REDUCE MAX HEIGHT ON MULTI-FAMILY DWELLING UNITS TO 5 STORIES - NO LONGER A GATED COMMUNITY - THE PROPERTY IS LOCATED AT THE NORTHEAST  CORNER OF ANNAPOLIS WAY AND MARINA DRIVE - COMPREHENSIVE PLAN LONG RANGE LAND USE DESIGNATION URBAN MIXED USE, UMU, AND LOCATED WITHIN THE NORTH WOODBRIDGE STUDY AREA OF THE POTOMAC COMMUNITIES SECTOR PLAN - "
"REZ1989-0056","Rezoning - Mixed Use","Approved","","12/06/1988","","","Plan","9220 HORNBAKER RD","7596-60-1255","RPT INDUSTRIAL PARK"
"PLN2010-00421","Rezoning - Proffer Interpretation/Determination","Closed","","05/28/2010","","","Plan","9259 MIKE GARCIA DR","7596-80-1801.01","PRI / HORNBAKER INDUSTRIAL PARK, RE: MOTOR VEHICLE SERVICE AND REPAIR"
"PLN2001-00171","Rezoning - Residential","Approved","","12/15/2000","","","Plan","10104 LINTON HALL RD","7595-22-7878","REZ # PLN2001-00171 - RUSSELL, ET AL PROPERTY (A-1 TO R-10)
105 SINGLE FAMILY DETACHED DWELLINGS"
"PLN2015-00096","Rezoning - Non-Residential","Approved","YOUTH FOR TOMORROW","08/26/2014","","","Plan","10119 LINTON HALL RD","7595-42-7663","REZ-YOUTH FOR TOMORROW/STADLER PROPERTY (REZ 0.9516 FROM A-1 TO B-1; AMEND PROFFER PLN2010-00397 TO ADD ADITIONAL ACREAGE)"
"REZ2021-00005","Rezoning - Mixed Use","Approved","University Village at Innovation","09/18/2020","","","Plan","11100 UNIVERSITY BLVD MANASSAS VA 20110","7696-00-5505","University Village at Innovation - To rezone 24.19 acres from PBD, Planned Business District, and A-1, Agricultural, to PMD, Planned Mixed Use District, to allow a mixed-use development consisting of 1,630 multifamily units (including1,480 student housing units) and 1,625,000 sq. ft. of nonresidential uses (office, retail and hotel) and associated waivers and modifications, including building height and floor area ratio increases.  The application also includes a request to release the subject site from the Declaration for the property of the Prince William Board of County Supervisors at Innovation at Prince William County. The property is located on the north side of University Blvd, between Prince William Pkwy (Route 234 By-Pass) and Cannon Creek Ln; and is identified on County maps as GPINs 7696-00-5505, and 7596-92-6825(part). The site is designated TC, Town Center, in the Comprehensive Plan, and is located within the Innovation Park Small Area Plan.  The site is currently zoned A-1 and PBD; is also located within the Technology Overlay District (TeOD); and the Airport Safety Overlay District. Brentsville Magisterial District"
