Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
"REZ1997-0027","Rezoning - Residential","Approved","","03/13/1997","","","Plan","12067 LANCERS CT","7993-57-4265","BRANDERMILL EXTENSION"
"REZ1985-0003","Rezoning - Residential","Superseded","","08/08/1984","","","Plan","7201 CENTREVILLE RD","7897-27-7424","BULL RUN LANDING (see REZ #86-0018)"
"REZ1985-0012","Rezoning - Residential","Approved","","09/19/1984","","","Plan","3550 MOUNTAIN RD","7100-74-2455",""
"REZ1988-0085","Rezoning - Residential","Approved","","04/20/1988","","","Plan","3293 MOUNTAIN LAUREL LP","8289-34-1694","WAYSIDE VILLAGE"
"REZ1988-0093","Rezoning - Residential","Approved","","02/10/1989","","","Plan","8705 LINTON HALL RD","7496-23-7472","ROCK HILL ESTATES"
"REZ1958-0150","Rezoning - Mixed Use","Approved","","07/11/1963","","","Plan","14208 LEE HY","7397-44-9817",""
"REZ1975-0001","Rezoning - Mixed Use","Approved","","07/11/1974","","","Plan","16830 DUMFRIES RD","8189-67-8338","PRINCE WILLIAM FIVE ASSOCIATES"
"REZ1970-0007","Rezoning - Residential","Approved","","08/18/1969","","","Plan","2849 SWEET GUM CT","8292-76-0789",""
"REZ1974-0025","Rezoning - Mixed Use","Approved","","09/24/1974","","","Plan","7226 CENTREVILLE RD","7897-25-5998",""
"REZ1988-0012","Rezoning - Residential","Approved","","08/26/1987","","","Plan","15510 FLETCHER CT","8190-89-9750","SEDGEWICK HEIGHTS"
"REZ1990-0011","Rezoning - Residential","Approved","","08/10/1989","","","Plan","6735 TOKEN VALLEY RD","7992-46-7894","TOKEN VALLEY ESTATES"
"REZ1987-0026","Rezoning - Mixed Use","Approved","","10/15/1986","","","Plan","7861 DAVID WILLIAMS WAY BRISTOW VA 20136","7497-40-3927","ATLANTIC COMMERCE CENTER"
"REZ1983-0002","Rezoning - Residential","Approved","","07/21/1982","","","Plan","14059 ORLANDO RD","7791-09-7754",""
"REZ1973-0021","Rezoning - Mixed Use","Approved","","03/28/1973","","","Plan","1800 REDDY DR","8391-45-8376",""
"REZ1987-0057","Rezoning - Residential","Approved","","03/17/1987","","","Plan","9852 FAIRMONT AV","7696-98-7604","POTOMAC CONFERENCE OF 7TH DAY"
"REZ1989-0086","Rezoning - Residential","Superseded","","03/31/1989","","","Plan","16751 INTERSTATE DR","8290-11-4408","VMS/ANDEN SOUTHBRIDGE VENTURE"
"REZ1989-0009","Rezoning - Residential","Approved","","08/08/1988","","","Plan","6720 HUNTERS RIDGE RD","7993-49-8152","HUNTERS OVERLOOK"
"REZ1979-0018","Rezoning - Mixed Use","Approved","","02/05/1979","","","Plan","14527 PINE LN","8391-37-6442",""
"REZ1965-0044","Rezoning - Mixed Use","Approved","","09/23/1965","","","Plan","14698 POTOMAC MILLS RD","8291-74-0443",""
"REZ1974-0036","Rezoning - Mixed Use","Approved","","05/07/1974","","","Plan","11909 CAROLINA DR","7695-12-7192","PLANTATION INVESTMENT"
"REZ1981-0030","Rezoning - Residential","Approved","","04/05/1981","","","Plan","14418 DELANEY RD","8192-10-7842",""
"REZ1984-0024","Rezoning - Residential","Approved","","12/05/1983","","","Plan","14122 SMOKETOWN RD","8291-48-7033","UPTON FOREST"
"REZ1965-0008","Rezoning - Mixed Use","Approved","","10/15/1964","","","Plan","14302 LEE HY","7397-43-3691",""
