Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
"PLN2003-00095","Rezoning - Residential","Withdrawn","","01/30/2004","","","Plan","8126 QUARRY RD","7896-31-6342","REZ PARK STATION (M-2 TO PMR) (Max. 526 multi-family units)"
"PLN2003-00126","Rezoning - Proffer Amendment","Approved","","11/01/2002","","","Plan","4105 MOUNT ATLAS LN","7200-10-2545","PROFFER AMENDMENT TO REZ #88-72 TO ENABLE PROPERTY TO BE SUBDIVIDED"
"PLN2003-00260","Rezoning - Residential","Approved","","01/31/2003","","","Plan","6110 JAMES MADISON HY","7298-75-9498","REZ#PLN2003-00260, ADDITION TO WESTMARKET"
"PLN2001-00160","Rezoning - Residential","Approved","","12/18/2000","","","Plan","8908 SMITH LN","7794-86-6262","REZ FELD PROPERTIES (A-1 TO SRR-1 (43.6 ACRES) A-1 TO R-10 (43.6 ACRES)"
"PLN2002-00082","Rezoning - Residential","Approved","","10/10/2001","","","Plan","5912 JAMES MADISON HY","7298-86-7607","REZ SIMMONS GROVE (A-1 TO R-10)"
"PLN2005-00600","Rezoning - Proffer Amendment","Approved","","06/07/2005","","","Plan","11140 NOKESVILLE RD","7595-83-2458","Proffer Amendment to REZ 00-0001"
"PLN2005-00496","Rezoning - Proffer Interpretation/Determination","Closed","","05/05/2005","","","Plan","15207 SPRIGGS RD","8091-81-4263","PROFFER INTERPRETATION - CHANGE FROM EXISTING TRAILS TO NEW PROPOSED TRAIL NETWORK"
"PLN2004-00179","Rezoning - Residential","Approved","","12/17/2003","","","Plan","10419 GODWIN DR","7794-27-2730","REZ #PLN2004-00179, Hailee's Grove
TO DEVELOP 8.2 ACRES FOR 21 SFD"
"PLN2006-00128","Rezoning - Proffer Amendment","Approved","","08/17/2005","","","Plan","2700 POTOMAC MILLS CL","8291-79-1954","PRA POTOMAC MILLS MALL-COSTCO WHOLESALE (AMEND PROFFERS TO PRA #PLN2003-00403); RCC"
"PLN2005-00465","Rezoning - Proffer Interpretation/Determination","Closed","","04/19/2005","","","Plan","5555 ASSATEAGUE PL","8090-48-1017","PROFFER INTERPRETATION - CHILDRENS WORLD LEARNING CENTER (stll awaiting vesting determination from Co. Atty's office since 4/27)"
"PLN2006-00534","Rezoning - Residential","Approved","","01/31/2006","","","Plan","3709 OLD BRIDGE RD","8193-81-8497","REZ CLARKE PROPERTY (A-1 TO PMR) HCOD; SRL"
"PLN2005-00497","Rezoning - Proffer Interpretation/Determination","Closed","","05/06/2005","","","Plan","11709 KAHNS RD","7993-19-8919","PROFFER INTERPRETATION"
"PLN2008-00362","Rezoning - Proffer Interpretation/Determination","Closed","","01/16/2008","","","Plan","15533 SPRIGGS RD","8091-71-7904","PRI / PROFFER 3H - FACADES OF RESIDENTIAL DWELLING UNITS"
"PLN2010-00443","Rezoning - Proffer Interpretation/Determination","Closed","","06/18/2010","","","Plan","15404 JOHN MARSHALL HY","7298-73-6057","PRI / MARKET CENTER - REVISED COMMERCIAL PLAN"
"PLN2011-00201","Rezoning - Proffer Interpretation/Determination","Closed","","12/14/2010","","","Plan","7503 CENTREVILLE RD","7897-33-0447","PRI / YORKSHIRE PROPERTIES, RE: UNITS - PMR-HIGH"
"PLN2012-00248","Rezoning - Proffer Interpretation/Determination","Closed","","02/17/2012","","","Plan","15425 EWELLS MILL WY","8090-59-9350","PRI- PROFFER INTERPRETATION FOR EWLLS MILL ESTATES-PLN2005-00119"
"PLN2009-00333","Rezoning - Proffer Interpretation/Determination","Closed","","01/30/2009","","","Plan","13311 MINNIEVILLE RD","8292-65-0454","PRI / CATON'S RIDGE - PROFFER #44"
"PLN2010-00010","Rezoning - Proffer Interpretation/Determination","Closed","","07/21/2009","","","Plan","15150 STEPPING STONE DR","7298-75-5158","PRI / WESTMARKET & VILLAGE AT HEATHCOTE TRANSPORTATION PROFFER OBLIGATIONS"
