Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
"REZ1968-0020","Rezoning - Residential","Approved","","04/08/1968","","","Plan","15420 OHIO AV","8390-89-0684",""
"REZ1966-0013","Rezoning - Residential","Approved","","01/27/1966","","","Plan","1005 BELMONT DR","8492-03-9278",""
"REZ1958-088A","Rezoning - Non-Residential","Approved","","01/01/1958","","","Plan","12754 GORDON BL","8393-71-7264",""
"PLN2014-00380","Rezoning - Proffer Interpretation/Determination","Closed","","06/09/2014","","","Plan","11301 BRADEN DR","7596-80-5832","PRI - PROFFERS INTERPRETATION FOR DIZZY PIG BARBECUE - PROFFERS NO. 19A (EXTERIOR WALL MATERIAL)"
"REZ1974-0012","Rezoning - Mixed Use","Approved","","11/29/1973","","","Plan","1952 DELAWARE DR","8391-34-4635","DIAMOND GROUP"
"REZ1968-0019","Rezoning - Mixed Use","Approved","","03/27/1968","","","Plan","10821 SPLIT RAIL DR","7994-99-6858",""
"REZ1979-0040","Rezoning - Residential","Approved","","05/10/1979","","","Plan","3737 RUSSELL RD","8192-96-2476",""
"PLN2015-00081","Rezoning - Proffer Interpretation/Determination","Closed","","09/03/2014","","","Plan","14800 LEE HY","7397-02-4248","PRI - PROFFER DETERMINATION FOR THE DR. KIM OFFICE BUILDING - PROFFER 6 & 10 "
"REZ1979-0037","Rezoning - Residential","Approved","","04/04/1979","","","Plan","18340 POSSUM POINT RD","8288-65-8592",""
"REZ1971-0032","Rezoning - Mixed Use","Approved","","03/03/1971","","","Plan","10551 BALLS FORD RD","7697-45-4754",""
"REZ1975-0016","Rezoning - Mixed Use","Approved","","01/30/1975","","","Plan","2806 GARBER WY","8292-55-9694",""
"REZ1973-0031","Rezoning - Residential","Approved","","05/22/1973","","","Plan","1902 RICHMOND AV","8392-42-0969",""
"REZ1958-0141","Rezoning - Mixed Use","Approved","","06/06/1963","","","Plan","2403 JAMES MADISON HY","7301-04-8042",""
"REZ1976-0035","Rezoning - Mixed Use","Approved","","05/10/1976","","","Plan","13524 TELEGRAPH RD","8292-85-5817",""
"REZ1958-0107","Rezoning - Residential","Approved","","01/24/1963","","","Plan","3201 HOUR GLASS DR","8290-20-3793",""
"REZ1973-0016","Rezoning - Mixed Use","Approved","","01/26/1973","","","Plan","12730 BLACK FOREST LN","8193-11-8949",""
"REZ1967-0037","Rezoning - Mixed Use","Approved","","07/13/1967","","","Plan","10621 LOMOND DR","7696-39-7941",""
"REZ1970-0038","Rezoning - Mixed Use","Approved","","04/14/1970","","","Plan","2150 SILVERSMITH CT","8390-19-9694","RIPPON LANDING RPC"
"PLN2013-00363","Rezoning - Proffer Interpretation/Determination","Closed","","06/07/2013","","","Plan","12658 LAKESIDE CT","8193-31-3275","PROFFER INTERPRETATION - 12658 LAKESIDE COURT"
"REZ1986-0047","Rezoning - Mixed Use","Superseded","","05/12/1987","","","Plan","12391 IONA SOUND DR","7495-93-5105","PEMBROOKE"
"REZ1989-0037","Rezoning - Mixed Use","Superseded","","09/14/1988","","","Plan","13720 LEE HY","7397-74-3093","SOUTHVIEW AT PRINCE WILLIAM"
"REZ1973-0020","Rezoning - Mixed Use","Superseded","","03/26/1973","","","Plan","12911 MARSTELLER DR","7493-58-6789",""
"REZ1978-0025","Rezoning - Mixed Use","Approved","","05/25/1978","","","Plan","8220 BIRCH ST","7896-29-5207",""
"REZ1994-0015","Rezoning - Mixed Use","Withdrawn","","01/05/1994","","","Plan","16000 JOHN MARSHALL HW","7198-83-9509","DISNEY'S AMERICA"
"REZ1983-0019","Rezoning - Residential","Approved","","01/19/1983","","","Plan","4516 EDSALL DR","8091-94-7020","STANLEY FOREST"
"REZ1989-0082","Rezoning - Residential","Approved","","03/16/1989","","","Plan","8650 DEVLIN RD","7496-73-8683","SHEFFIELD MANOR"
"REZ1988-0038","Rezoning - Residential","Approved","","12/15/1987","","","Plan","1680 OLD BRIDGE RD","8393-51-7318",""
