Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
PLN2009-00105,Rezoning - Proffer Amendment,Approved,,08/13/2008,,,Plan,1880 OPITZ BL,8391-36-7075,PRA - TO INCLUDE MOTOR VEHICLE RENTAL OR LEASE WITHIN THE PARCEL
REZ2020-00021,Rezoning - Proffer Amendment,Approved,South Point Phase II,06/10/2020,,,Plan,8240 BUCKEYE TIMBER DR MANASSAS VA 20109,7596-27-0765,"South Point Phase II  - To amend the proffers associated with REZ #PLN2008-00600, to allow increased building area for data center uses, along with associated modifications and waivers, to include building height and floor area ratio (FAR) increases.  The subject property (totaling 22.23 acres) is located southwest of the intersection of Buckeye Timber Drive and Wellington Road, and further south/west of the terminus of Buckeye Timber Drive.  The site is identified on County maps as GPINs 7596-16-3971, 7596-16-6453, 7596-17-5909, 7596-17-7737, 7596-17-9208, and 7596-27-0765.  The subject site is currently zoned M-2, Light Industrial; is designated FEC, Flexible Use Employment Center, in the Comprehensive Plan; and is located within the Data Center Opportunity Overlay District and Airport Safety Overlay District.  Brentsville Magisterial District"
REZ2000-0001,Rezoning - Mixed Use,Approved,,08/03/1999,,,Plan,11140 NOKESVILLE RD,7695-18-7540,INNOVATION AT PRINCE WILLIAM - DIECA COMMUNICATIONS
REZ1989-0039,Rezoning - Mixed Use,Approved,,08/02/1988,,,Plan,11140 NOKESVILLE RD,7595-73-6629,BROADVIEW CENTER - has been amended by REZ2000-0001
REZ2020-00005,Rezoning - Mixed Use,Approved,Centre at Haymarket ,08/29/2019,,,Plan,15600 JOHN MARSHALL HWY HAYMARKET VA 20169,7298-32-4095,"Centre at Haymarket - This is a request to rezone 8.5472 acres from A-1, Agricultural to O(M) Office Mid-Rise. The site is located at 15600 John Marshall Highway, which is located at the intersection of John Marshall Highway and Antioch Road. The site is identified on County maps as GPIN 7298-32-4095; and is designated CEC, Community Employment Center in the Comprehensive Plan. Gainesville Magisterial District."
REZ1998-0014,Rezoning - Residential,Approved,,10/07/1997,,,Plan,5948 CROOKED CREEK DR,7994-94-1200,RESERVE AT CROOKED CREEK - 55 SF MAXIMUM CAP.
REZ1980-0023,Rezoning - Mixed Use,Approved,,02/14/1980,,,Plan,2607 CATON HILL RD,8292-64-8775,
PLN2008-00135,Rezoning - Proffer Interpretation/Determination,Closed,,09/11/2007,,,Plan,9040 HORNBAKER RD,8292-55-6284,TO ALLOW GRADING WITHIN THE PROFFERED 3-FOOT WIDE BERM  PURSUANT TO PROFFER # 7A OF REZ #PLN2000-00055.
REZ2020-00009,Rezoning - Proffer Amendment,Approved,Neabsco Center,10/17/2019,,,Plan,15807 JEFFERSON DAVIS HWY WOODBRIDGE VA 22191,8290-87-9418,"Neabsco Center is a request To amend the proffers associated with #REZ1990-0070 to remove the 100,000 SF retail shopping center building on the eastern portion of the property, amend the overall layout, and to allow the development of a 7,400 SF building on the remaining third pad site (Lot 31A 2).  
The subject 8.08-acre property is located along northbound Jefferson Davis Highway (Rt. 1) 350 north of the intersection of Jefferson Davis Highway (Rt. 1) and Neabsco Road.  The property is currently addressed 15807 Jefferson Davis Highway and is identified on County maps as GPIN 8290-87-9418.  The site is currently zoned B-1, General Business; is designated NC, Neighborhood Commercial, in the Comprehensive Plan; and is located within the Route 1 Highway Corridor Overlay District, Potomac Communities Revitalization Special Planning Area, and Neabsco Mills Study Area.  Woodbridge Magisterial District"
REZ2016-00013,Rezoning - Non-Residential,Approved,Site Works at Industrial Road,02/11/2016,,,Plan,11112 INDUSTRIAL RD MANASSAS VA 20109,7595-78-3088,"request to rezone approximately 4.1061 acres from M-2, Light Industrial, to M / T, Industrial / Transportation. The property is located at 11112 and 11116 Industrial Road, approximately 735 feet west of the intersection of Industrial Road and Hornbaker Road. The sites are identified on County Maps as GPINs 7595-78-3088 and 7595-78-4591, is zoned M-2, Light Industrial, and is designated EI, Industrial Employment, in the Comprehensive Plan. Brentsville Magisterial District."
