Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
PLN2005-00427,Rezoning - Proffer Interpretation/Determination,Closed,,03/10/2005,,,Plan,17773 MINE RD,8189-52-8754,"PROFFER INTERPRETATION - PROFFER 9, LOCATION OF GAS LINE; PROFFER 19, WATERLINE CROSSING OF RPA"
PLN2005-00449,Rezoning - Residential,Withdrawn,,04/19/2005,,,Plan,2012 HORNER RD,8392-25-1506,REZ MOUNT RAY (43.72 AC A-1 TO R-16); SRH; IN POTOMAC COMMUNITIES
PLN2001-00336,Rezoning - Mixed Use,Approved,,06/14/2001,,,Plan,9211 DEVLIN RD,7596-00-5650,REZ BRAEMAR ADDITION TO COMMERCIAL LAND BAY NN (A-1 TO RPC) 5.2 ACRES
PLN2001-00146,Rezoning - Residential,Approved,,12/13/2000,,,Plan,9251 ASHLEYS PARK LN,7495-69-9994,"WISNIEWSKI  PROPERTY
REZONE 36.95 ACRES FROM A-1, AGRICULTURAL TO R-10, SUBURBAN RESIDENTIAL"
PLN2002-00125,Rezoning - Mixed Use,Approved,,11/28/2001,,,Plan,6801 CATHARPIN RD,7397-57-7563,REZ SIMS PROPERTY A-1 TO PMR (32.5 ACRES) AND A-1 TO PMD (66.4 ACRES)
PLN2003-00138,Rezoning - Residential,Approved,,11/05/2002,,,Plan,9000 LINTON HALL RD,7496-50-0865,"REZ#PLN2003-00138, CATHOLICS FOR HOUSING"
PLN2001-00087,Rezoning - Proffer Amendment,Approved,,10/02/2000,,,Plan,4300 PRINCE WILLIAM PY,8193-40-7363,"MINNIELAND AT THE GLEN
PROFFER AMENDMENT TO REZ # 98-32"
PLN2003-00350,Rezoning - Residential,Approved,,04/04/2003,,,Plan,14116 GLENKIRK RD,7396-35-1545,"REZ#PLN2003-00350 - CAMP GLENKIRK
"
PLN2004-00114,Rezoning - Non-Residential,Approved,,10/03/2003,,,Plan,7902 BETHLEHEM RD,7597-80-3275,REZ#PLN2004-00114  BETHLEHEM WOODS 
PLN2001-00126,Rezoning - Residential,Approved,,11/21/2000,,,Plan,14801 PIEDMONT VISTA DR,7398-65-6094,REZ SIMPSON ADDITION TO PIEDMONT (A-1 TO PMR)
PLN2001-00153,Rezoning - Mixed Use,Withdrawn,,12/15/2000,,,Plan,4460 PRINCE WILLIAM PY,8193-31-4635,"LAUREL CROSSING
Rezone A-1, Agricultural to R-10, Residential and O(M) Office Meduim Density"
PLN2003-00397,Rezoning - Residential,Approved,,05/14/2003,,,Plan,11895 NOKESVILLE RD,7594-38-5175,"REZ#PLN2003-00397, NEW BRISTOW HEIGHTS"
PLN2003-00322,Rezoning - Non-Residential,Approved,,03/21/2003,,,Plan,7800 PROGRESS CT,7497-12-6630,REZ #PLN2003-00322 - FANNON PETROLEUM
PLN2003-00002,Rezoning - Residential,Approved,,06/21/2002,,,Plan,7410 SIGNAL HILL RD,7895-95-1021,REZ #PLN2003-00002 - GENERALS RIDGE
PLN2003-00054,Rezoning - Proffer Amendment,Approved,,08/13/2002,,,Plan,11091 INDUSTRIAL RD,7595-78-7427,"PRA#PLN2003-00054, Broad Run Industrial Park Lot 9C"
