Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
"REZ1993-0012","Rezoning - Residential","Approved","","12/01/1992","","","Plan","12241 HEDGES RUN DR","8293-25-1320","LAKE RIDGE RPC"
"REZ1998-0022","Rezoning - Non-Residential","Approved","","01/12/1998","","","Plan","8050 WELLINGFORD DR","7596-19-8642","ABLE AT WELLINGFORD"
"REZ1958-0011","Rezoning - Mixed Use","Superseded","","12/05/1962","","","Plan","","",""
"PLN2002-00191","Rezoning - Mixed Use","Approved","","01/30/2002","","","Plan","14013 GLENKIRK RD","7396-65-2789","Rezone from A-1 to R-20 - (subdivision for church and 1 existing residence)"
"PLN2000-00032","Rezoning - Residential","Approved","","02/15/2000","","","Plan","12701 SUDLEY MANOR DR","7495-54-8688","REZ BRAEMAR PROFFER AMENDMENT"
"PLN2002-00170","Rezoning - Residential","Approved","","12/31/2001","","","Plan","5309 DAVIS FORD RD","8093-58-7555","Rezone 81 acres from A-1 to SRR-1 - 32 single family dwelling units"
"PLN2000-00043","Rezoning - Residential","Approved","","01/06/2000","","","Plan","4877 OCCOQUAN CLUB DR","8194-03-6194","REZ-THE CLOISTERS, PARCEL 2 (A-1 TO SRR-1)"
"PLN2001-00180","Rezoning - Residential","Withdrawn","","12/22/2000","","","Plan","15700 CARDINAL DR","8290-39-2062","REPUBLIC PROPERTIES PCL-C
Rezone A-1, Agricultural to PMR (103.5 ac.) R-10 (13.1 ac.)"
"PLN2002-00034","Rezoning - Mixed Use","Denied","","08/17/2001","","","Plan","16262 THOROUGHFARE RD","7198-80-5827","BOARD DENIED PROPOSAL TO REZONE APPROX. 443.43 ACRES FROM A-1, R-20, R-10, SR-6, O(M), AND B-1 TO PMR; 11.99 AC. OF O(F) TO REMAIN O(F)"
"PLN2002-00204","Rezoning - Non-Residential","Approved","","02/12/2002","","","Plan","12218 DUMFRIES RD","7893-44-9096","GARCIA OFFICE PARK
Office Low-Rise  "
"PLN2003-00080","Rezoning - Residential","Approved","","09/05/2002","","","Plan","7304 OLD CAROLINA RD","7297-55-6087","HAYMARKET OVERLOOK
"
"PLN2002-00026","Rezoning - Non-Residential","Approved","","08/14/2001","","","Plan","7555 SOMERSET CROSSING DR","7397-03-5257","REZ SOMERWOOD (A-1 TO B-1 and O(L))"
"PLN2001-00255","Rezoning - Proffer Amendment","Superseded","","03/15/2001","","","Plan","2700 POTOMAC MILLS CL","8291-79-0604","IKEA  POTOMAC MILLS
Proffer Amendement Statement "
"PLN2001-00154","Rezoning - Residential","Approved","","12/15/2000","","","Plan","3604 SERENDIPITY RD","8291-00-0376","STACYS RIDGE
Rezone A-1, Agricultural to R-10, Residential"
"PLN2002-00175","Rezoning - Residential","Approved","","01/04/2002","","","Plan","8131 SINCLAIR MILL RD","7893-12-0449","Rezone 27.5 acres from A-1 to SRR-1 - 11 Single Family Dwelling units"
"PLN2004-00293","Rezoning - Residential","Withdrawn","","03/15/2004","","","Plan","16705 HARWOOD OAKS CT","8290-30-8119","REZ WESTCOTT HILL (10 AC. FROM B-1 TO R-16) FOR A MAX OF 86 MULTI-FAMILY RESIDENTIAL UNITS"
"PLN2004-00247","Rezoning - Residential","Approved","","02/02/2004","","","Plan","2151 OPITZ BL","8391-15-9163","REZ OPITZ CROSSING (B-1 TO PMR)"
"PLN2006-00470","Rezoning - Proffer Interpretation/Determination","Closed","","01/13/2006","","","Plan","7805 LINTON HALL RD","7397-72-6796","PROFFER INTERPRETATION PROFFERS 36 AND 37 - VIRGINIA GATEWAY PHASE 4 (06-00058) - LOADING AREAS AND DUMPSTERS"
"PLN2006-00525","Rezoning - Proffer Amendment","Approved","","01/18/2006","","","Plan","4100 MERCHANT PZ","8192-59-3296","PROFFER AMENDMENT TO AMEND PLN2002-00064 (PARCEL 7); B-1; HCOD; CEC"
"PLN2006-00168","Rezoning - Residential","Approved","","08/30/2005","","","Plan","10605 LUCASVILLE RD","7794-37-8493","REZ; 14 ACRES FROM A-1 TO R-4 FOR DEVELOPMENT OF A MAXIMUM 20 SFD; A-1/SRL"
"PLN2006-00288","Rezoning - Proffer Interpretation/Determination","Closed","","10/20/2005","","","Plan","9000 LINTON HALL RD","7496-50-0865","REQUEST FOR PROFFER INTERPRETATION OF PROFFER 10.2"
"PLN2004-00383","Rezoning - Residential","Approved","","05/27/2004","","","Plan","17205 INTERSTATE DR","8289-05-7697","REZ BRIARWOOD OVERLOOK (B-1 TO R-16 (2.38 AC) AND RM-1 TO R-16 WITH PROFFERS (3.83 AC)"
"PLN2005-00415","Rezoning - Proffer Interpretation/Determination","Closed","","04/04/2005","","","Plan","15821 LEE HY","7296-27-6484","PROFFER INTERPRETATION"
"PLN2005-00438","Rezoning - Proffer Amendment","Approved","","04/15/2005","","","Plan","5700 HOADLY RD","8093-41-2690","Proffer Amendment to PLN2001-00037 #5d, to re install conservation area and allow fence in area  "
"PLN2007-00373","Rezoning - Proffer Interpretation/Determination","Closed","","01/09/2007","","","Plan","10320 BALLS FORD RD","7697-56-9681","PRI / COMMERCIAL KENNEL ALLOWED IN M-1 ZONING DISTRICT"
"PLN2006-00521","Rezoning - Proffer Interpretation/Determination","Closed","","01/30/2006","","","Plan","8920 OLD DOMINION DR","7794-79-7373","PROFFER INTERPRETATION TO PERMIT STANDARD 24 FOOT WIDE PAVED ROADWAY"
"PLN2007-00453","Rezoning - Proffer Interpretation/Determination","Closed","","02/09/2007","","","Plan","15533 SPRIGGS RD","8091-80-7523","PRI / PROFFER 3.C. COMPLIANCE RE: DISTURBANCE OF BUFFER"
"PLN2007-00280","Rezoning - Non-Residential","Approved","","11/14/2006","","","Plan","14005 TELEGRAPH RD","8292-81-8665","REZ TELEGRAPH ROAD HOTEL (A-1 TO B-1); INCREASE BLDG. HEIGHT & FAR TO ALLOW A 125-ROOM HOTEL & MODIFY SIGN PROVISIONS TO ALLOW AN ADDITIONAL FACADE SIGN; RCC & ER"
"PLN2006-00557","Rezoning - Residential","Denied","","02/15/2006","","","Plan","15112 LEE HY","7297-61-3883","Rezone 22.65 acres from A-1, Agricultural to PMR, Planned Mixed Residential for the construction for 53 SFD "
"PLN2005-00282","Rezoning - Proffer Interpretation/Determination","Closed","","02/07/2005","","","Plan","4460 PRINCE WILLIAM PY","8193-31-4635","proffer interpretation  - reids prospect"
"PLN2005-00582","Rezoning - Proffer Interpretation/Determination","Closed","","06/07/2005","","","Plan","14105 GLENKIRK RD","7396-52-8522","PROFFER INTERPRETATION REGARDING LANDSCAPE BUFFER"
"PLN2007-00315","Rezoning - Proffer Interpretation/Determination","Closed","","12/05/2006","","","Plan","6427 JAMES MADISON HY","7298-83-7664","PRI / WESTMARKET / SEEN & AGREED LTR RE: PROFFER H.2.D COMPLIANCE (SEE PLN2007-00102)"
"PLN2006-00942","Rezoning - Proffer Interpretation/Determination","Closed","","06/27/2006","","","Plan","15194 LEICESTERSHIRE ST","8391-02-4353","PI / KSI TRAIL CONSTRUCTION W/WATER MAIN"
"PLN2007-00102","Rezoning - Proffer Interpretation/Determination","Closed","","08/18/2006","","","Plan","6427 JAMES MADISON HY","7298-83-7664","PRI / WESTMARKET / PROFFER H.2.D COMPLIANCE"
"PLN2008-00062","Rezoning - Proffer Interpretation/Determination","Closed","","08/01/2007","","","Plan","7805 LINTON HALL RD","7397-81-2138","Proffer Interpretation for Virginia Gateway Phase V - Utility Easement Planting Follow-Up Information."
"PLN2009-00523","Rezoning - Residential","Approved","","06/03/2009","","","Plan","13550 HEATHCOTE BL","7497-07-6414","REZ THE MARQUE AT HERITAGE HUNT (11.59 AC FROM PBD TO PMR); PBD; SRL"
"PLN2012-00122","Rezoning - Proffer Interpretation/Determination","Closed","","10/11/2011","","","Plan","15142 SILICA ST","7298-74-8054","PROFFER INTERPRETATION FOR MARKET CENTER SECTION 3-REQUEST A CONFIRMATION THAT THE PROPSED HOUSING TYPE YARDS AND SETBACKS ARE IN COMPLIANCE"
"PLN2009-00085","Rezoning - Proffer Interpretation/Determination","Closed","","07/16/2008","","","Plan","15040 NEABSCO MILLS RD","8291-82-2888",""
"PLN2008-00141","Rezoning - Proffer Interpretation/Determination","Closed","","09/12/2007","","","Plan","9504 LINTON HALL RD","7495-86-5997","REZ#PLN2003-00352 - REQUESTING CLARIFICATION AND DETERMINATION AS TO WHETHER CERTAIN PROFFERS ARE APPLICABLE AND/OR HAVE BEEN SATISFIED."
"PLN2006-00956","Rezoning - Mixed Use","Suspended (On-Hold)","VISTAS AT LAKE MANASSAS","06/30/2006","","","Plan","14505 LEE HY","7397-21-7084","VISTAS AT LAKE MANASSAS - TO REZONE 20.73 ACRES TO PBD AND 43.98 ACRES TO PMR (210) RESIDENTAIL DWELLING UNITS-(130 TOWNHOUSES AND 80 MULTIFAMILY UNITS).  Processed concurrently with CPA #PLN2006-00485; Lake Manassas Overlook  Sam Jones Property."
"PLN2007-00590","Rezoning - Proffer Interpretation/Determination","Closed","","03/23/2007","","","Plan","12581 MILSTEAD WY","8093-82-0895","PRI / GOV'T CENTER / PROFFERS #4 & 20 - MODIFY SPACING AND NUMBER OF BRICK PIERS"
"PLN2008-00633","Rezoning - Residential","Approved","","05/27/2008","","","Plan","5905 WEBSTERS WY","8092-19-7695","REZONE 2.6155 ACRES FROM A-1 TO R-4 TO ALLOW A MAXIMUM OF 5 SINGLE FAMILY DETACHED HOMES"
"PLN2006-00924","Rezoning - Proffer Interpretation/Determination","Closed","","06/23/2006","","","Plan","13520 FOULGER SQ","8292-43-1696","PI / ROLLINGWOOD CENTER / REDESIGN OF DUMPSTER ENCLOSURES"
"PLN2007-00668","Rezoning - Mixed Use","Approved","","05/03/2007","","","Plan","4236 INN ST","8188-44-9875","REZ GONZALES PROPERTY (REZONE +/-1.39 ACRES FROM R-4 (0.34 AC) & B-1 (1.046 AC) TO R-4 AND B-2; WITHIN POTOMAC COMMUNITIES AND TRIANGLE STUDY AREA; NC"
"PLN2007-00029","Rezoning - Proffer Interpretation/Determination","Closed","","07/18/2006","","","Plan","10410 GODWIN DR","7694-86-5813","PRI / AIRPORT GATEWAY RE: ADD'L RETAIL USES"
"PLN2009-00335","Rezoning - Residential","Approved","","01/19/2009","","","Plan","10201 SOUZA LN","7995-81-6444","REZ PROCTOR PROPERTY (1.47 AC FROM SR-5 TO A-1); ER"
"PLN2008-00459","Rezoning - Proffer Amendment","Approved","","02/21/2008","","","Plan","6704 ABBERLEY LP","7398-20-6242","PROFFER AMENDMENT TO REZ #PLN2000-00068, PIEDMONT SOUTH (LIGHTING IN COMMON AREAS); PMR"
"REZ1977-0007","Rezoning - Mixed Use","Approved","","10/29/1976","","","Plan","3859 PRINCE WILLIAM PK","8192-85-0694",""
"REZ1964-0002","Rezoning - Mixed Use","Approved","","10/24/1963","","","Plan","8001 SUDLEY RD","7696-49-6563","HYLTON, C.D."
"PLN2015-00169","Rezoning - Proffer Interpretation/Determination","Closed","","11/06/2014","","","Plan","9100 DEVLIN RD BRISTOW VA 20136","7496-60-1866","PRI - PROFFER INTERPRETATION FOR BRISTOW COMMONS PROFFERED USES.  REZ CASE# PLN2007-00693"
"REZ1967-0012","Rezoning - Residential","Approved","","09/30/1966","","","Plan","1989 DELAWARE DR","8391-33-4443",""
"REZ1977-0003","Rezoning - Mixed Use","Approved","","09/10/1976","","","Plan","13301 DUMFRIES RD","7892-67-1718",""
"REZ1967-0032","Rezoning - Residential","Approved","","05/11/1967","","","Plan","4600 POTOMAC HIGHLANDS CL","8188-57-5272",""
"REZ1973-0015","Rezoning - Mixed Use","Approved","","01/18/1973","","","Plan","13001 OCCOQUAN RD","8392-79-2764",""
"REZ1978-0019","Rezoning - Mixed Use","Approved","","06/20/1970","","","Plan","13211 NOKESVILLE RD","7493-37-3187",""
"REZ1976-0025","Rezoning - Mixed Use","Approved","","02/09/1976","","","Plan","1500 FEATHERSTONE RD","8391-75-2483",""
