Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
REZ1967-0010,Rezoning - Mixed Use,Approved,,12/01/1966,,,Plan,14000 JOHN MARSHALL HY,7397-74-0187,
REZ1967-0025,Rezoning - Residential,Approved,,03/23/1967,,,Plan,3517 MILLET ST,8292-06-6841,
REZ1971-0022,Rezoning - Mixed Use,Approved,,12/02/1970,,,Plan,12723 MINNIEVILLE RD,8393-21-1478,
REZ1971-0029,Rezoning - Mixed Use,Approved,,02/11/1971,,,Plan,11318 INDUSTRIAL RD,7595-48-8189,
REZ1964-0005,Rezoning - Mixed Use,Approved,,12/19/1963,,,Plan,8379 WELLINGTON RD,7696-03-8976,
REZ1974-0001,Rezoning - Mixed Use,Approved,,07/12/1973,,,Plan,1529 OLD BRIDGE RD Unit: 101,8393-60-1713,
REZ1974-0016,Rezoning - Residential,Approved,,01/04/1973,,,Plan,5079 LAMBSGATE LN,8092-80-6881,GREENWOOD FARM & LOGAN WOODS
REZ1971-0024,Rezoning - Residential,Approved,,12/31/1970,,,Plan,12790 HUNTERBROOK DR,8393-22-9216,ROLLINGBROOK
REZ1980-0008,Rezoning - Mixed Use,Superseded,,10/31/1979,,,Plan,12838 MILL HOUSE CT,8393-00-2630,LAKE RIDGE RPC
REZ1971-0047,Rezoning - Mixed Use,Approved,,06/02/1971,,,Plan,7698 DONEGAN DR,7697-32-0058,
REZ1958-037A,Rezoning - Residential,Approved,,06/17/1960,,,Plan,14419 ORANGE CT,8291-98-6338,LYNCH TRACT
REZ1984-0003,Rezoning - Mixed Use,Superseded,,08/04/1983,,,Plan,3535 JAMES MADISON HY,7200-94-7860,SUPERCEDED AND AMENDED BY REZ1984-0030.
REZ1980-0003,Rezoning - Mixed Use,Approved,,09/13/1979,,,Plan,16933 OLD STAGE RD,8189-88-9572,
REZ1968-0007,Rezoning - Mixed Use,Approved,,11/09/1967,,,Plan,14543 JEFFERSON DAVIS HY,8391-46-7259,
REZ1979-0035,Rezoning - Residential,Approved,,04/04/1979,,,Plan,3316 ROLLINGWOOD DR,8292-35-7798,LONGWOOD SUBDIVISION
REZ1985-0045,Rezoning - Mixed Use,Approved,,11/21/1985,,,Plan,10103 RESIDENCY RD,7695-03-8930,AIRPORT COMMERCE CENTER
REZ1985-0042,Rezoning - Mixed Use,Superseded,,02/12/1986,,,Plan,10801 BATTLEVIEW PY,7697-27-3459,BATTLEFIELD BUSINESS PARK
