Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
"ZPA1998-03027","Zoning Approval - Certificate of Zoning Approval","Approved","","02/09/1998","","","Plan","10960 STONEBROOK DR","7994-56-8256","Certificate of Zoning Approval PERC TEST FOR ONE SINGLE FAMILY DWELLING ON 3.9176 ACRE PARCEL - SUBJECT TO REZONING #88-61 (PROFFERS ATTACHED) - SUBJECT TO APPROVED SUBDIVISION PLANS - "
"REZ2016-00022","Rezoning - Residential","Approved","Ray's Regarde","05/12/2016","","","Plan","2012 HORNER RD WOODBRIDGE VA 22191","8392-26-6542","Ray's Regarde - A request to rezone a 55-acre property from A-1, Agricultural, R-4, Suburban Residential, and R-16, Urban Residential, to PMR, Planned Mixed Residential, to allow up to 325 residential units. The application includes the partial abandonment of Horner Road. The property is located at the northeastern quadrant of the I-95/Prince William Parkway interchange; is zoned A-1, R-4, and R-16; and is designated SRH, Suburban Residential High, SRL, Suburban Residential Low, and ER, Environmental Resources, in the Comprehensive Plan. Woodbridge Magisterial District"
"REZ2016-00004","Rezoning - Non-Residential","Approved","Gainsford Court","08/26/2015","","","Plan","7950 GAINSFORD CT BRISTOW VA 20136","7497-70-4815","Gainsford Court; To rezone +/- 2.02 acres from M-2 to M-1; Zoned M-2, Light Industrial; EI, Industrial Employment"
"REZ2017-00026","Rezoning - Proffer Amendment","Approved","Smith Pond","04/17/2017","","","Plan","9413 LOMAX FOREST DR MANASSAS VA 20112","7794-48-0417","REZ2017-00026, Smith Pond; Proffer Amendment Request to amend the existing proffers pursuant to #REZ2006-00168 to remove a proposed walking trail. The property is located at 9413 Lomax Forest Drive, approximately .322 miles north of the Lucasville Rd. and Godwin Dr. intersection. The property is identified on County maps as GPIN: 7794-48-0417. The site is zoned R-4, Suburban Residential, and is designated SRL, Suburban Residential Low, in the Comprehensive Plan. The property is located in the Airport Safety Overlay District. Coles Magisterial District."
"REZ2017-00022","Rezoning - Proffer Amendment","Approved","Cheshire Station","04/04/2017","","","Plan","14119 MINNIEVILLE RD WOODBRIDGE VA 22193","8192-50-8821","Cheshire Station - Starbucks; Proffer Amendment, (PRA), request to amend the existing proffers pursuant to #REZ1999-0020 to allow a Starbucks with drive-up window service at Cheshire Station shopping center. The subject site is located at the southeast quadrant of the intersection of Minnieville Rd and Dale Blvd and is identified on County maps as GPIN 8192-50-8821. The Subject site is zoned B-1, General Business and is designated NC, Neighborhood Commercial, in the Comprehensive Plan. The Property is located in the Dale Boulevard HCOD, and Minnieville RD HCOD, Highway Corridor Overlay District. Neabsco Magisterial District."
"REZ2017-00019","Rezoning - Proffer Amendment","Approved","Madison Square","01/31/2017","","","Plan","","7297-20-5229","Madison Square - This is a request to amend Proffer Amendment PLN2008-00325 to allow B-1 uses in Land Bays B and C, modify development phasing and triggers, and incorporate additional revisions for a mixed-use project with up to 170,000 square feet of office/commercial/retail development and 25 single-family detached units. The 25-acre site is located on the north side of Route 29, approximately 1,300 feet east of Route 15. The site is identified on County maps as GPIN 7297-20-5229; is zoned PMD, Planned Mixed Use District; and is designated CEC, Community Employment Center, and ER, Environmental Resource, in the Comprehensive Plan and is a part of the 1-66/Route 29 Sector Plan. Brentsville Magisterial District."
"REZ2018-00019","Rezoning - Proffer Amendment","Approved","DC Paddock","02/22/2018","","","Plan","11132 INDUSTRIAL RD MANASSAS VA 20109","7595-68-7096","DC Paddock PRA - To amend the proffers associated with #REZ2015-20000 to allow greater flexibility in square footage of any proposed building(s) on the property, eliminate proffers that are no longer applicable, and to remove buffers that are no longer required.  The subject property is located on the north side of Industrial Road and 550 feet east of Industrial Court; is currently addressed as 11132 Industrial Road; and is identified on County maps as GPIN 7595-68-7096.   The site is currently zoned M/T, Industrial/Transportation; is designated EI, Industrial Employment, in the Comprehensive Plan; and is located within the Data Center Opportunity Overlay District and Airport Safety Overlay District.  Brentsville Magisterial District."
"REZ2019-00001","Rezoning - Proffer Interpretation/Determination","Closed","","06/26/2018","","","Plan","2750 PRINCE WILLIAM PKWY WOODBRIDGE VA 22192","8292-72-0277",""
"REZ2015-20009","Rezoning - Proffer Amendment","Approved","Liberia Investment Property","01/22/2015","","","Plan","2910 GARBER WAY WOODBRIDGE VA 22192","8292-56-7554","Liberia Investment Property;REZ2015-20009, request to amend the existing proffered conditions (REZ PLN#2000-00055), which prohibits a boat and RV Center but allows for more intense uses. (Concurrent with SUP2015-20011)"
"REZ1958-0047","Rezoning - Mixed Use","Superseded","","05/18/1961","","","Plan","","",""
