Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
"REZ2022-00029","Rezoning - Proffer Amendment","Under Review","Blackburn Land Bay 4 PRA","06/16/2022","","","Plan","7311 ASHTON AVE MANASSAS VA 20109","7697-04-4369","Blackburn Land Bay 4 PRA -This is a request to amend the proffers associated with PLN2014-00040 to allow for the development of an age restricted community of 144 units.  The subject property is located on the southeast corner of Balls Ford Road and Ashton Avenue, is identified on County Maps as GPIN:7697-04-4369 and 7697-04-6642; and is addressed as 10911 Balls Ford Road and 7311 Ashton Avenue. The property is zoned PMD, Planned Mixed District with a B-1 General Business land bay designation; and is designated REC, Regional Employment Center, in the Comprehensive Plan and is located within the Resource Protection Area. Gainesville Magisterial District."
"PLN2000-00196","Rezoning - Proffer Amendment","Approved","","06/01/2000","","","Plan","8575 RIXLEW LN","7696-85-1866","PRA KELLER & ROBINSON (AMEND PROFFERS TO REZ #87-7)"
"REZ2016-00021","Rezoning - Mixed Use","Board Scheduled","Kline Property","05/18/2016","","","Plan","8129 PRINCE WILLIAM PY MANASSAS VA 20111","7895-32-7841","Kline Property - To rezone 55.42 acres from A-1, Agricultural, to PMR, Planned Mixed Residential, and B-1, General Business, and with associated development waivers/modifications and signage modifications, to develop mixed residential, retail, commercial, office, and public recreational uses.  The total project area encompasses 100.45 acres.  Single-family attached (townhouse) residential dwellings are being proposed, not to exceed a total of 240 units.  The subject property is located east of the City of Manassas, southeast of the intersection of Prince William Pkwy. and Liberia Ave., east of Prince William Pkwy., and north of Buckhall Rd.  The site is identified on County maps as the following GPINs:  7895-12-8843; 7895-23-2666; 7895-23-4912; 7895-32-0193; 7895-32-7841 (portion); and 7895-33-1607.  The site is zoned A-1, Agricultural; is currently designated CEC, Community Employment Center, and SRR, Semi-Rural Residential; and is partially located within the Prince William Parkway Highway Corridor Overlay District and the Domestic Fowl Overlay District.  (Concurrently being processed with #SUP2017-00037, #SUP2022-00022, and #SUP2022-00023.)  Note, Long-Range Land Use is currently being evaluated in the proposed Liberia Avenue Activity Center"
"REZ2022-00034","Rezoning - Residential","Withdrawn","GODWIN DRIVE","06/27/2022","","","Plan","10312 GODWIN DR MANASSAS VA 20110","7695-90-2000",""
"REZ2022-00013","Rezoning - Non-Residential","Approved","JKF","10/08/2021","","","Plan","11300 BRADEN DR MANASSAS VA 20109","7596-80-4477","JKF - To rezone 3.64 acres from A-1, Agricultural, to M-1, Heavy Industrial, to allow for the development of 50,000 square foot building for industrial uses. The subject property is located on the north side of Braden Drive and on the northwest corner of the intersection of Braden Drive and Hornbaker Road. It is addressed as 11300 Braden Drive; and is identified on County maps as GPIN 7596-80-4477. The site is designated EI, Industrial Employment, in the Comprehensive Plan, and is located within the Airport Safety Overlay District and Data Center Opportunity Overlay District. Brentsville Magisterial District."
"PLN2001-00318","Rezoning - Non-Residential","Superseded","","05/18/2001","","","Plan","3000 CHERRY HILL RD","8289-66-1500","POTOMAC OFFICE PARK
Office - Medium"
"REZ2016-00008","Rezoning - Proffer Amendment","Approved","Carnoch Way--Amendment to Braemar","10/21/2015","","","Plan","10231 CARNOCH WAY BRISTOW VA 20136","7495-51-1465","Carnoch Way--Amendment to Braemar; This is a request to amend the proffers from REZ #PLN2003-00352 to modify the land bay layout of +/-15.25 acres within the Braemar Master Zoning Plan. Land bays P, R, T, W, and X, which are the subject of the amendment, are designated for commercial and public uses.  The Applicant owns Land Bay P, a 4.98-acre site designated for commercial development. The remainder of the area of revision is owned by the County. The application will provide a more functional commercial layout for Land Bay P, and modify the alignment of future Carnoch Way. This includes a property swap with the County of approximately 1.8 acres. The property is located northwest of the intersection of Vint Hill Road and Sudley Manor Drive. The site is identified on County maps as GPIN 7495-51-0559 and 7495-41-8389, is zoned RPC, Residential Planned Community, and is designated RPC, Residential Planned Community, in the Comprehensive Plan. Brentsville Magisterial District."
"REZ2020-00012","Rezoning - Proffer Amendment","Approved","9100 Devlin Road","01/10/2020","","","Plan","9100 DEVLIN RD BRISTOW VA 20136","7496-60-3069","Bristow Commons Plaza PRA - This is a request to amend proffers associated with #PLN2007-00693 to allow for additional uses.  The subject site is located on Devlin Road approximately 500 feet away from Linton Hall Road, and is addressed 9100 and 9110 Devlin Road.  The site is identified on County maps as GPIN 7496-60-3069; is zoned B-2, Neighborhood Business; is designated NC, Neighborhood Commercial, in the Comprehensive Plan.  Brentsville Magisterial District"
"REZ2020-00010","Rezoning - Non-Residential","Approved","11951 Sudley Manor Drive","11/27/2019","","","Plan","11951 SUDLEY MANOR DR MANASSAS VA 20109","7596-52-6573","11951 Sudley Manor Drive - This is a request to rezone approximately 53.9884 acres from A-1, Agricultural to PBD, Planned Business District, to allow for O(F), Office Flex and M-2, Light Industrial uses. The property is located at 11951 Sudley Manor Drive, approximately 585 feet from the intersection of Sudley Manor Drive and University Blvd., and approximately 654 feet from the intersection of Sudley Manor Drive and Wellington Rd. The property is identified on County maps as GPIN: 7596-52-6573(pt.).  The site is zoned A-1, Agricultural and is designated REC, Regional Employment Center and ER, Environmental Resource, in the Comprehensive Plan. The property is located in the Data Center Opportunity Overlay, Airport Safety Overlay Districts and the Chesapeake Bay Preservation Area. Brentsville Magisterial District."
"REZ2020-00020","Rezoning - Proffer Amendment","Approved","Woodbine Shopping Center ","04/20/2020","","","Plan","13446 DUMFRIES RD MANASSAS VA 20112","7892-55-2432","To amend the proffers associated with #REZ1981-0019 to allow a freestanding fast food restaurant with drive-through facility.  This is being concurrently processed with a SUP2020-00027, Woodbine Shopping Center - Dunkin Donuts, which is a request to allow a drive-through facility and associated signage modifications for a new restaurant, which will replace an existing bank building with drive-through lanes.  The subject 10.83-acre shopping center property is located along southbound Dumfries Road (Rt. 234), and southwest of the Dumfries Road / Counselor Road intersection.  The 0.77-acre SUP area is located at the northeastern portion of the shopping center on a pad site.  The subject property is currently addressed as 13550 Dumfries Road; and is identified on County maps as GPIN 7892-55-2432.  The site is zoned B-2, Neighborhood Business; is designated NC, Neighborhood Commercial, in the Comprehensive Plan; is located within the Domestic Fowl Overlay District; and is partially located within the both the Route 234 (Dumfries Road) and Hoadly Road Highway Corridor Overlay Districts.  Coles Magisterial District"
