Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
REZ1986-0006,Rezoning - Mixed Use,Approved,,07/23/1985,,,Plan,6948 GATEWAY CT,7697-88-3502,PRINCE WILLIAM GATEWAY
REZ1979-0001,Rezoning - Residential,Approved,,07/17/1978,,,Plan,8306 YORKSHIRE LN,7897-23-5774,
REZ1990-0003,Rezoning - Mixed Use,Withdrawn,,06/27/1989,,,Plan,15201 NEABSCO MILLS RD,8291-91-1655,NEABSCO MILLS BUSINESS CENTER
REZ1989-0025,Rezoning - Mixed Use,Approved,,09/09/1988,,,Plan,12501 CLIPPER DR,8393-32-0871,LAKE RIDGE RPC
REZ1981-0039,Rezoning - Residential,Approved,,06/11/1981,,,Plan,15804 BEAU RIDGE DR,8290-06-9373,BEAU RIDGE ESTATES
REZ1986-0008,Rezoning - Mixed Use,Approved,,02/07/1986,,,Plan,14845 BUILD AMERICA DR Unit: 1,8391-34-4598.01,
REZ1981-0047,Rezoning - Mixed Use,Approved,,06/30/1981,,,Plan,14135 JEFFERSON DAVIS HY,8392-60-2062,
REZ1978-0008,Rezoning - Mixed Use,Approved,,01/10/1978,,,Plan,16787 INTERSTATE DR,8289-19-2159,
REZ1983-0015,Rezoning - Mixed Use,Approved,,08/02/1983,,,Plan,1502 FEATHERSTONE RD,8391-75-1388,
REZ1985-0062,Rezoning - Residential,Approved,,06/12/1985,,,Plan,13183 RETTEW DR,7893-51-2378,"FOXMILL SEC 1,2,3"
REZ1967-0008,Rezoning - Residential,Approved,,11/03/1966,,,Plan,11201 SOLDIERS RIDGE CL,7597-92-3505,
REZ1983-0038,Rezoning - Mixed Use,Superseded,,05/09/1983,,,Plan,8220 QUARRY RD,7896-20-9663,
REZ1996-0015,Rezoning - Proffer Amendment,Superseded,,10/16/1995,,,Plan,12701 SEA RAY LN,8393-81-4586,"PRINCE WILLIAM MARINA, INC."
REZ1996-0038,Rezoning - Residential,Approved,,05/01/1996,,,Plan,14090 SHELTER LN,7300-43-1702,LATHAM SUBDIVISION
REZ1986-0040,Rezoning - Residential,Approved,,01/14/1986,,,Plan,14714 INDUSTRY CT,8391-86-7992,
REZ1990-0048,Rezoning - Residential,Superseded,,01/09/1990,,,Plan,12329 BASSWOOD DR,7993-77-8412,HUNTERS RIDGE
REZ1983-0021,Rezoning - Mixed Use,Superseded,,02/01/1983,,,Plan,13590 MINNIEVILLE RD,8292-23-4763,
REZ1985-0043,Rezoning - Residential,Approved,,02/27/1985,,,Plan,13183 RETTEW DR,7892-89-9352,ALGONQUIN HILLS
REZ1982-0021,Rezoning - Mixed Use,Approved,,03/21/1982,,,Plan,8516 WELLINGTON RD Unit: PARCEL ADDRESS,7696-13-8828,
REZ1981-0038,Rezoning - Mixed Use,Superseded,,06/08/1981,,,Plan,,7796-05-4410,
REZ1985-0061,Rezoning - Residential,Approved,,05/07/1986,,,Plan,4848 PEARSON DR,8092-91-1060,PEARSONS LANDING
REZ1989-0074,Rezoning - Mixed Use,Approved,,02/27/1989,,,Plan,13461 HAVERSACK LN,8192-75-7272,WALNUT GROVE EXECUTIVE PARK
PLN2008-00416,Rezoning - Non-Residential,Withdrawn,,02/08/2008,,,Plan,14523 TELEGRAPH RD,8291-88-4106,REZ U-HAUL CENTER OF POTOMAC MILLS (M-2 TO B-1); RCC
PLN2001-00353,Rezoning - Proffer Interpretation/Determination,Closed,,06/28/2001,,,Plan,8310 CHATSWORTH DR,7596-97-2604,PRI / RE: REZ1987-0089 - BETHLEHEM ASSEMBLAGE; SECTIONS 100 & 403.21
PLN2002-00130,Rezoning - Proffer Amendment,Approved,,11/28/2001,,,Plan,7875 BALTUSROL BL,7296-86-8347,PRA TO AMEND RPC MASTER ZONING PLAN AND PROFFERS TO CREATE A MIXED USE OVERLAY TO INCLUDE GOLF COURSE CLUB HOUSE & RELATED RECREATIONAL FACILITIES AND USES
