Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
"ZPA2005-06458","Zoning Approval - Sign","Approved","","02/28/2005","","","Plan","12711 MARBLESTONE DR","8193-12-0402","SIGN - WACHOVIA BANK DIRECTIONAL SIGNS (SIGN 1) - CONSTRUCT ONE FREESTANDING DIRECTIONAL SIGN (3 SQ FT).  SIGN SHALL COMPLY WITH THE PWC SIGN ORDINANCE AND PROFFER OF REZONING PLN2000-00132."
"ZPA2005-06461","Zoning Approval - Sign","Approved","","02/25/2005","","","Plan","12711 MARBLESTONE DR","8193-12-0402","SIGN - WACHOVIA BANK DIRECTIONAL SIGNS (SIGN 4) - CONSTRUCT ONE FREESTANDING DIRECTIONAL SIGN (3 SQ FT).  SIGN SHALL COMPLY WITH THE PWC SIGN ORDINANCE AND PROFFER OF REZONING PLN2000-00132."
"ZPA2005-06459","Zoning Approval - Sign","Approved","","02/25/2005","","","Plan","12711 MARBLESTONE DR","8193-12-0402","SIGN - WACHOVIA BANK DIRECTIONAL SIGNS (SIGN 2) - CONSTRUCT ONE FREESTANDING DIRECTIONAL SIGN (3 SQ FT).  SIGN SHALL COMPLY WITH THE PWC SIGN ORDINANCE AND PROFFER OF REZONING PLN2000-00132."
"ZNA2017-01692","Zoning Approval - Occupancy Permit Approval","Approved","","09/23/2016","","","Plan","14141 DAVES STORE LN GAINESVILLE VA 20155","7397-54-7680","OPA - OK FOR OCCUPANCY FOR A HOTEL USE - APPROVAL SUBJECT TO ALL CONDITIONS OF REZONING #PLN2006-00434 - SUBJECT TO THE ISSUANCE THE CERTIFICATE OF USE AND OCCUPANCY BY DEVELOPMENT SERVICES"
"ZPA2007-00711","Zoning Approval - Occupancy Permit Approval","Approved","","07/26/2006","","","Plan","2264 YORK DR","8392-13-7652","OPA - OK FOR OCCUPANCY FOR RELIGIOUS INSTITUTION - SUBJECT TO ALL CONDITIONS OF NCU# PLN2007-00019 AND REZONING PLN2005-00232 - SUBJECT TO ISSUANCE OF CERTIFICATE OF USE AND OCCUPANCY BY PUBLIC WORKS"
"ZPA2000-05212","Zoning Approval - Sign","Approved","","05/04/2000","","","Plan","14050 CENTRAL LP","8292-21-0416","SIGN-ONE (1) OF TWO (2) FACADE SIGNS-LOCATED IN HCOD-SUBJECT TO  SECTION 32-250.20 (SIGN REGS.) AND HCOD STANDARDS.  REZONING 94-28 & PROFFERED CONVENANTS DO NOT ADDRESS FACADE SIGNS."
"ZNA2017-00176","Zoning Approval - Sign","Approved","","07/13/2016","","","Plan","5351 WELLINGTON BRANCH DR Unit: US001 GAINESVILLE VA 20155","7397-94-5516","PERMANENT FREESTANDING MONUMENT SIGN FOR VIRGINIA GATEWAY FOR CABELA'S AND A FUTURE TENANT IN CONFORMANCE WITH REZ # PLN2015-20005 (CABELA'S REZONING - MONUMENT SIGNAGE) CABELA'S ADDRESS IS 5291 WELLINGTON BRANCH DR."
"ZPA2000-02559","Zoning Approval - Sign","Approved","","11/22/1999","","","Plan","7523 LINTON HALL RD","7397-63-9418","SIGN - SUBWAY - ONE (1) NEW FACADE SIGN - NO OTHER FACADE SIGNS ON THIS UNIT - SUBJECT TO REZONING COMPREHENSIVE SIGN PROGRAM AND SECTION 32-250.20 (SIGN REGS) OF PWC ZONING ORDINANCE "
"ZPA1994-04671","Zoning Approval - Certificate of Zoning Approval","Approved","","05/27/1994","","","Plan","9723 BRENTSVILLE RD","7793-16-5777","Certificate of Zoning Approval FOR PERC TEST ONLY !  PRIOR TO CONSTRUCTION A SEPARATE ZONING APPROVAL AND BUILDING PERMIT WILL BE REQUIRED. SUBJECT TO APPROVAL OF REZONING,  OR FAMILY LAND TRANSFER. "
"ZNA2023-06020","Zoning Approval - Occupancy Permit Approval","Approved","","06/05/2023","","","Plan","13385 MINNIEVILLE RD WOODBRIDGE VA 22192","8292-54-1670","OPA - OK FOR OCCUPANCY FOR ADMINISTRATIVE OFFICE USE ONLY - SUBJECT TO REZONING CASE REZ1994-0027 - SUBJECT TO THE ISSUANCE OF THE CERTIFICATE OF USE AND OCCUPANCY BY COUNTY BUILDING OFFICIAL"
"ZPA2005-05284","Zoning Approval - Sign","Approved","","01/10/2005","","","Plan","8982 HORNBAKER RD","7596-81-2061.01","SIGN- NVS KITCHEN & BATH - CONSTRUCT ONE NEW SIDE WALL SIGN (24 SQUARE FEET).  SIGN SHALL COMPLY WITH THE PWC SIGN REGULATIONS AND DESIGN GUIDELINES APPROVED WITH REZONING #PLN2001-00313.  ARB APPROVED SIGN."
"ZPA2000-02222","Zoning Approval - Sign","Approved","","10/28/1999","","","Plan","7549 LINTON HALL RD","7397-63-9418","SIGN ONE (1) NEW FACADE SIGN (NO OTHER SIGNS ON THIS UNIT) - SUBJECT TO SECTION 32-250.20 (SIGN REGS) OF PWC ZONING ORDINANCE & COMPREHENSIVE SIGN PLAN (PER REZONING PROFFER) FOR VIRGINIA GATEWAY "
"ZNA2022-01356","Zoning Approval - Occupancy Permit Approval","Approved","","09/01/2021","","","Plan","14141 DAVES STORE LN GAINESVILLE VA 20155","7397-54-7680","OPA - OK FOR OCCUPANCY FOR A HOTEL USE - APPROVAL SUBJECT TO ALL CONDITIONS OF REZONING #PLN2006-00434 - SUBJECT TO THE ISSUANCE THE CERTIFICATE OF USE AND OCCUPANCY BY DEVELOPMENT SERVICES"
"PLN2009-00045","Zoning Review - Interpretation/Determination","Withdrawn","","07/28/2008","","","Plan","9930 BATTLEVIEW PY","7697-57-4740","REQUEST A DET./INT. THAT THE PROPOSED OFFICE DEVELOPMENT IS IN ACCORDANCE WITH THE APPROVAL REZONING, PCA'S ABD REQUIREMENTS OF THE PBD ZONE IN AFFECT AT THE TIME OF APPROVAL"
"ZPA1995-05549","Zoning Approval - Certificate of Zoning Approval","Approved","","06/29/1995","","","Plan","11810 BRISTOW RD","7694-30-7910","Certificate of Zoning Approval PERC TEST- SUBJECT TO HEALTH DEPARTMENT AND FOR LOTS CREATED LESS THAN 10 ACRES APPROVED FAMILY LAND TRANSFER OR APPROVED REZONING WOULD HAVE TO BE OBTAINED - "
