Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
"REZ1981-0020","Rezoning - Mixed Use","Superseded","","02/12/1981","","","Plan","","",""
"REZ1989-0099","Rezoning - Mixed Use","Superseded","","05/15/1989","","","Plan","","","BELMONT CENTER"
"REZ1988-0073","Rezoning - Mixed Use","Withdrawn","","03/16/1988","","","Plan","","","EVERGREEN TERRACE"
"REZ1987-0020","Rezoning - Residential","Superseded","","10/02/1986","","","Plan","","","OLD CAROLINA ROAD ESTATES"
"REZ1988-0054","Rezoning - Mixed Use","Withdrawn","","01/19/1988","","","Plan","","","HAYMARKET BUSINESS CENTER"
"REZ1987-0079","Rezoning - Mixed Use","Withdrawn","","06/02/1987","","","Plan","","",""
"REZ1988-0059","Rezoning - Mixed Use","Superseded","","01/29/1988","","","Plan","","",""
"REZ1989-0092","Rezoning - Mixed Use","Approved","","04/23/1989","","","Plan","7850 PROGRESS CT","7497-11-0867","STONEWOOD DEVELOPMENT PROGRESS BUSINESS CENTER"
"REZ1987-0043","Rezoning - Mixed Use","Withdrawn","","12/19/1986","","","Plan","","",""
"REZ1989-0033","Rezoning - Residential","Superseded","","03/03/1989","","","Plan","","","COURTS OF WILLOWBROOK"
"REZ1989-0060","Rezoning - Residential","Withdrawn","","11/04/1988","","","Plan","","","CABIN RUN"
"REZ1988-0047","Rezoning - Mixed Use","Withdrawn","","12/28/1987","","","Plan","","",""
"REZ1988-0099","Rezoning - Mixed Use","Withdrawn","","06/21/1988","","","Plan","","",""
"REZ1989-0084","Rezoning - Mixed Use","Withdrawn","","03/29/1989","","","Plan","","",""
"REZ1990-0015","Rezoning - Mixed Use","Withdrawn","","08/04/1989","","","Plan","","","CENTREWOOD AT DEVLIN"
"REZ1987-0088","Rezoning - Residential","Withdrawn","","06/29/1987","","","Plan","","","DEERWOOD FOREST"
"REZ1988-0043","Rezoning - Mixed Use","Withdrawn","","12/22/1987","","","Plan","","",""
"REZ1989-0029","Rezoning - Residential","Superseded","","09/16/1988","","","Plan","","",""
"REZ1989-0085","Rezoning - Mixed Use","Withdrawn","","03/30/1989","","","Plan","","",""
"REZ1990-0014","Rezoning - Residential","Withdrawn","","08/11/1989","","","Plan","","",""
