Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
PLN2011-00184,Rezoning - Proffer Interpretation/Determination,Closed,,12/02/2010,,,Plan,10605 LUCASVILLE RD,7794-37-8493,"PRI / SMITH'S POND, RE: GDP"
PLN2009-00350,Rezoning - Proffer Interpretation/Determination,Closed,,02/13/2009,,,Plan,4524 ASDEE LN,8193-34-3216,PRI / MAY'S QUARTER - PROFFER #2.A. - GREATBRIDGE ROAD IMPROVEMENTS (FORMERLY ASDEE LANE)
PLN2008-00621,Rezoning - Proffer Interpretation/Determination,Closed,,05/15/2008,,,Plan,10604 BRISTOW RD,7594-68-3079,PRI / NEW BRISTOW VILLAGE; RE: PROFFER 13.2
PLN2009-00277,Rezoning - Proffer Interpretation/Determination,Closed,,12/30/2008,,,Plan,2700 POTOMAC MILLS CL,8291-79-1954,"PRI / POTOMAC MILLS MALL - FOREVER XXI STORE, RE: PROPOSED FACADE IMPROVEMENTS AND SIGNAGE CONFORMANCE"
REZ1967-0031,Rezoning - Mixed Use,Approved,,04/26/1967,,,Plan,8223 CENTREVILLE RD,7896-16-9593,
REZ1965-0037,Rezoning - Non-Residential,Approved,,04/11/1965,,,Plan,13595 RYTON RIDGE LN,7497-09-3635,
REZ1964-0003,Rezoning - Residential,Approved,,11/07/1963,,,Plan,19300 BELLEAU WOOD DR,8287-08-7198,
REZ1958-0157,Rezoning - Mixed Use,Approved,,05/01/1963,,,Plan,10000 NEW WELLINGTON RD,7397-76-0953,
PLN2012-00371,Rezoning - Non-Residential,Dismissed,MANASSAS FAMILY DENTAL CARE CENTER,05/04/2012,,,Plan,10416 BALLS FORD RD,7697-56-5456,REZ MANASSAS FAMILY DENTAL CARE CENTER; A-1 TO O(M); FEC & REC
PLN2011-00014,Rezoning - Proffer Interpretation/Determination,Closed,,07/12/2010,,,Plan,4360 RIDGEWOOD CENTER DR,8193-30-9346,PRI / RIDGEWOOD CENTER
PLN2010-00447,Rezoning - Proffer Interpretation/Determination,Closed,,06/21/2010,,,Plan,15414 CARDINAL DR,8191-60-9609,PRI / FISHER PROPERTY - GENERAL CONFORMANCE
PLN2013-00372,Rezoning - Residential,Approved,,06/12/2013,,,Plan,10100 CANNON BRANCH PZ,7695-72-9468,"RESERVE AT CANNON BRANCH (REZONE 9.1 AC FROM B-2, NEIGHBORHOOD BUSINESS, & 5.3 AC FROM A-1, AGRICULTURAL, TO R-4, SUBURBAN RESIDENTIAL (CLUSTER) "
REZ1984-0053,Rezoning - Mixed Use,Approved,,05/15/1984,,,Plan,11950 LIVINGSTON RD,7596-28-2556,WELLINGFORD INDUSTRIAL PARK
REZ1979-0029,Rezoning - Residential,Approved,,04/01/1979,,,Plan,13036 SMOKETOWN RD,8292-18-8095,
REZ1977-0018,Rezoning - Mixed Use,Approved,,05/09/1977,,,Plan,8634 J D READING DR,7596-94-1736,WILLIAMS INDUSTRIES
REZ1971-0005,Rezoning - Mixed Use,Approved,,07/29/1970,,,Plan,12912 FITZWATER DR,7493-58-5584,
REZ1971-0016,Rezoning - Residential,Approved,,10/14/1970,,,Plan,1932 WILLOW LN,8392-43-5249,
REZ1985-0059,Rezoning - Residential,Approved,,05/30/1985,,,Plan,2630 PRINCE WILLIAM PY,8393-14-9169,LAKE RIDGE RPC
