Case Number,Type,Status,Project Name,Applied Date,Expiration Date,Completion Date,Module Name,Address,Main Parcel,Description
"MOD2024-00002","Rezoning Minor Modification","Under Review","","08/17/2023","","","Plan","12333 SAINT HELENA TER BRISTOW VA 20136","7496-96-6070","Minor Modification to Amend PLN2006-00683 from wood chip path to asphalt path"
"REZ2024-00006","Rezoning - Non-Residential","Pending","","08/14/2023","","","Plan","14901 DUMFRIES RD MANASSAS VA 20112","7991-45-0874","MID-COUNTY INDUSTRIAL PARK"
"REZ2024-00004","Rezoning - Residential","Under Review","Gibson Crossing Rezoning ","07/31/2023","","","Plan","13709 DUMFRIES RD MANASSAS VA 20112","7892-53-8485","Gibson Crossing Rezoning - This is a request to rezone 8.8 acres from B-2, Neighborhood Business, to PMR, Planned Mixed Residential, and with associated development waivers and modifications, to allow for the development of up to 192 age-restricted multi-family units.  The subject property is located 250 feet south of the intersection of Dumfries Road (Route 234) and Hoadly Road; east of Dumfries Road; is currently addressed as 13709 Dumfries Road; and is identified on County maps as GPIN 7892-53-8485 (portion).  The site is designated MU-4, Community Mixed Use, which recommends 8 to 24 dwelling units per acre in the Comprehensive Plan; is partially located within both the Route 234 (Dumfries Road) and Hoadly Road Highway Corridor Overlay Districts; and within the Agritourism and Arts Overlay District.  Coles Magisterial District"
"REZ2024-00003","Rezoning - Non-Residential","Under Review","Palmas Garden Center","07/27/2023","","","Plan","8117 OAK ST MANASSAS VA 20111","7897-20-7725","Palmas Garden Center - This is a request to rezone the portion of the R-4, Suburban Residential to, B-1, General Business to allow for the development of a garden center/nursery use. The Property is located on  350 feet from the intersection of Oak Street and Centreville Rd; is identified on County maps as GPIN 7897-20-7725 on 0.92 acres. The site is currently zoned R-4, Suburban Residential and B-1, General Business; is designated MU-3, Mixed Use (Neighborhood) in the Comprehensive Plan and it is within the Yorkshire Special Planning Area. Coles Magisterial District."
"REZ2024-00001","Rezoning - Proffer Amendment","Under Review","Manassas Point PRA","07/18/2023","","","Plan","7816 BETHLEHEM RD MANASSAS VA 20109","7596-79-3589","Manassas Point PRA - This is a request to Amend proffers associated with PLN2008, PLN2003 & REZ1986-00037. The properties are located on Bethlehem Rd,  1 mile north of the intersection with Sudley Manor Drive. The property addresses are 7816, 8122, and 7820 Bethlehem Rd; and is identified on County maps as GPIN(s) 7596-79-3589, 7596-89-0058, 7597-70-9703 on approximately 39.86 acres; is zoned M-1, Heavy Industrial District and is designated I-3, Industrial (Tech /Flex) and OMU-2, Office Mixed Use (Low-Rise) in the Comprehensive Plan; and is located within the Data Center Opportunity Overlay District, Airport Safety Overlay District, Agritourism and Arts Overlay District and the Bethlehem Road Activity Center. Gainesville Magisterial District."
"MOD2024-00001","Rezoning Minor Modification","Under Review","","06/30/2023","","","Plan","8395 GIRVAN CT MANASSAS VA 20109","7696-95-1092","Minor Modification for removal of up to seven parking spaces to allow for interparcel connection."
"REZ2024-00005","Rezoning - Mixed Use","Under Review","SMITH CROSSING","06/29/2023","","","Plan","5804 ARTEMUS RD GAINESVILLE VA 20155","7498-37-3622","SMITH CROSSING - This is a request to rezone 117.39 acres from A-1, Agricultural to PMR, Planned Mix Residential to develop a 385-unit residential community, the remaining 117.39 acres associated with the proposal will retain its existing A-1, Agricultural zoning and be used for open space. The density will consist of 1.64 dwelling units per acre and include a mix of single family attached and single family detached units. Associated with this request are various waivers and modifications. The property is addressed as 5770, 5804, 5624, 5630, 5640, 5636, 5620 and 5616 Artemus Road; and is located at the southeast of the intersection of Artemus and Catharpin Road. The subject site is identified on County maps as GPINs 7498-25-0890, 7498-37-3622, 7498-18-7804, 7498-27-1399, 7498-27-3481, 7498-27-0051, 7498-17-6958, and 7498-17-4161; is designated CRes-1C, Conservation Residential, and POS, Parks and Open Space in the Comprehensive Plan, and is located within the Resource Protection/Environmental Resources Protection Overlay, Domestic Fowl Overlay, Airport Safety Overlay, and the 100 and 500 year Floodplain. Gainesville Magisterial District."
"REZ2024-00002","Rezoning - Non-Residential","Under Review","BALLS FORD ROAD CROSSING","06/28/2023","","","Plan","12314 RANDOLPH RIDGE LN MANASSAS VA 20109","7597-02-8150","BALLS FORD ROAD CROSSING - This is a request to rezone from M-2, Light Industrial to M/T, Industrial/Transportation Zoning District to allow for the development of a truck terminal facility. The property is located at 12314 and 12300 Randolph Ridge Lane, directly northwest of the intersection of Balls Ford Road and Prince William Parkway. The property is identified on the County maps as GPINs 7597-02-8150 and 7597-02-7964 on approximately 3.95 acres; is zoned M-2, Light Industrial; is designated I-4, Industrial, Transect T-4 in the Comprehensive Plan; and is located within the Data Center Opportunity Overlay, the Airport Safety Overlay, and the Highway Corridor Overlay District.  Brentsville Magisterial District."
"REZ2023-00030","Rezoning - Proffer Amendment","PC Scheduled","Riverside Station - Land Bay B PRA ","06/15/2023","","","Plan","13444 RICHMOND HWY WOODBRIDGE VA 22191","8492-06-2030","Riverside Station Land Bay B  PRA - This is a request to amend the proffers associated with REZ2022-00008 for a percentage parking reduction to not exceed 12%. The subject Properties are addressed as 13444 and 13414 Richmond Highway. The subject sites are identified on County maps as GPINs 8492-06-2030 and 8392-96-9852 on  13 acres; are zoned PMD, Planned Mixed Use are designated MU-6, Mixed Use (Urban Town Center) in the Comprehensive Plan; and are located within the Route 1 Redevelopment Corridor, Highway Corridor Overlay District, Agritourism and Arts Overlay District. Woodbridge Magisterial District."
"REZ2023-00029","Rezoning - Proffer Amendment","PC Scheduled","Riverside Station Land Bay A PRA ","06/15/2023","","","Plan","13441 OCCOQUAN RD WOODBRIDGE VA 22191","8392-95-9150","Riverside Station Land Bay A PRA - This is a request to amend the proffers associated with REZ2022-00007 for a percentage parking reduction to not exceed 12%. The subject Properties are addressed as 13417 Occoquan Road, 13441 Richmond Highway, and 13494 Richmond Highway. The subject sites are identified on County maps as GPINs 8392-95-9150, 8392-95-8090, and 8392-95-6684 on  6.3 acres; are zoned PMD, Planned Mixed Use, are designated MU-6, Mixed Use (Urban Town Center) in the Comprehensive Plan; and are located within the Route 1 Redevelopment Corridor, North Woodbridge Small Area Plan, Highway Corridor Overlay District, and Agritourism and Arts Overlay District. Woodbridge Magisterial District."
