date,CaseID,Outcome,isRezoning,TaxIDs
2018-01-24,18RW0147,Deferred,FALSE,#735-725-6651
2018-01-24,18SN0551,Approved,FALSE,"778-651-3488,3787,3873,3987,4173,4188,4374,4388,4574,4588,4774,4888,5074,5294,5474,5496,5598,5774,5799,5974,6175,6375,6575,7075,7375,7575,7776,7976,8176,8677,8699,8795,8797,8892,8978,9178,and9479,and778-652-5800,6002,6306,6508,6709,6810,7012,8221,8224,8317,8319,8405,8411,8413,8415,8501,and8502"
2018-01-24,18SN0530,Approved,TRUE,791-656-2142
2018-01-24,18SN0611,Approved,FALSE,790-678-8499
2018-01-24,18SN0625,Approved,FALSE,768-659-4257
2017-01-25,16SN0704,Deferred,TRUE,731-689-5633;731-691-Partof3176;732-688-0178and732-689-5376
2017-01-25,17SN0603,Deferred,FALSE,"751-706-3789,751-707-1228and4548"
2017-01-25,17SN0540,Approved,FALSE,714-687-Partof3343
2017-01-25,17SN0597,Approved,FALSE,799-655-4194;799-657-3802;799-658-Partof6575;and800-656-5991
2017-01-25,17SN0607,Approved,FALSE,739-711-9206and9230
2017-01-25,17SN0608,Approved,FALSE,743-684-7608
2017-01-25,17SN0614,Approved,FALSE,765-697-9555
2017-02-22,15SN0656,Deferred,TRUE,"724-709-1313,2311,2528,4210,5831,6911,9121;725-709-1125,2064and7635"
2017-02-22,15SN0656,Deferred,TRUE,730-663-3520
2017-02-22,17RW0180,Approved,FALSE,785-655-7290
2017-02-22,13SN0525,Approved,FALSE,"713-693-8372;714-694-2789,3374,4972,5869,6187,6664,7897,9074,9168,9443,9462and9591;714-695-2503,3027,6544,6719,7232,8414and9924;715-694-1243,1386,2183,2465,3041,3081,3363,3799,3978,4740,4776,5637,7069,7434,7652,8163,8186,8450,8825and9184;715-695-0832,1007,2004,2117,2442,2901,4635,5188,5460,6264,6444,7148and7953;716-694-1261;716-695-0187,1093,2079,2099and3081;716-696-3003"
2017-02-22,17SN0594,Approved,FALSE,"764-641-7720;765-641-6256,6636,8833,9074and9724;766-639-7996,8684,9170,9353and9935;766-640-2196,2987,3779,4169,7789,8875and9863;766-641-0515,1407,1973,3451,4739,5420,6404,6776,7236,8912and9768;766-642-5904;767-639-1547,2955,4398,4565,5590and6575;767-640-0646,1436,1690,2127,2783,2817,3507,3767,4658,5549,6341,7131,7817,8092,8800,8985and9977;767-641-0500,0854,1644,2537,4027,5516and7101;768-640-0420,0870,2033,2463and3018"
2017-02-22,17SN0616,Approved,FALSE,800-632-3167
2017-02-22,17SN0619,Deferred,FALSE,726-707-2550
2017-02-22,17SN0688,Approved,FALSE,720-668-8155and720-669-Partof8248
2017-02-22,17SN0742,Approved,FALSE,797-656-3684and797-657-2314
2017-02-22,17SN0742,Approved,FALSE,805-639-9731
