"Submitted/ Initiated","Record Number (xxTMP records have not been submitted)","Record Type","Status","Project Name","Address","Original Application",
"12/21/2012","RZ-2013-SP-005","Rezoning","Approved","MHI-SPRING LAKE, L.L.C.","6408 SPRING LAKE DR BURKE, VA 220154020","RZ   2013-SP-005",
"12/10/2012","RZ-2011-PR-025","Rezoning","Approved","CHESTNUT STREET, LLC","7614 RUDYARD ST FALLS CHURCH, VA 220432908","RZ   2011-PR-025",
"12/10/2012","RZ-2013-MV-001","Rezoning","Approved","A&R HUNTINGTON METRO LLC","2344 GLENDALE TE ALEXANDRIA, VA 223031908","RZ   2013-MV-001",
"12/04/2012","RZ-2013-BR-003","Rezoning","Approved","THE EVERGREENE COMPANIES, LLC","9723 BRADDOCK RD FAIRFAX, VA 220321725","RZ   2013-BR-003",
"11/29/2012","RZ-2013-PR-004","Rezoning","Approved","HITT CONTRACTING, INC.","2757 HARTLAND RD FALLS CHURCH, VA 220433529","RZ   2013-PR-004",
"11/20/2012","RZ-2013-PR-006","Rezoning","Approved","FAIRFAX PLAZA LLC","9542 LEE HY FAIRFAX, VA 22031","RZ   2013-PR-006",
"11/07/2012","RZ-2013-SU-010","Rezoning","Approved","CHRISTOPHER LAND, L.L.C.","4843 WALNEY RD CHANTILLY, VA 201512310","RZ   2013-SU-010",
"11/06/2012","RZ-2012-0250","Rezoning","Returned","ALEX VUONG","6309 GROVEDALE DR ALEXANDRIA, VA 223102536","RZ   2012-0250",
"11/02/2012","RZ-2012-PR-011","Rezoning","Approved","THE TRUSTEES OF EMMANUEL LUTHERAN CHURCH","2595 CHAIN BRIDGE RD VIENNA, VA 221815577","RZ   2012-PR-011",
"10/23/2012","RZ-2012-MA-022","Rezoning","Approved","CG PEACE VALLEY LLC","3236 PEACE VALLEY LA FALLS CHURCH, VA 220441801","RZ   2012-MA-022",
"10/12/2012","RZ-2012-LE-021","Rezoning","Approved","CLIFFORD F. LINDSAY, TRUSTEE","7215 LACKAWANNA DR SPRINGFIELD, VA 221504416","RZ   2012-LE-021",
"10/09/2012","RZ-2012-BR-020","Rezoning","Approved","EASTWOOD PROPERTIES, INC.","5525 OX RD FAIRFAX STATION, VA 220391017","RZ   2012-BR-020",
"10/05/2012","RZ-2013-DR-002","Rezoning","Approved","WRIT LP","1350 BEVERLY RD MCLEAN, VA 22101 United States","RZ   2013-DR-002",
"09/26/2012","RZ-2012-DR-019","Rezoning","Approved","ELM STREET RESIDENTIAL, L.L.C.","6862 ELM ST MCLEAN, VA 221013833","RZ   2012-DR-019",
"09/07/2012","RZ-2012-MV-015","Rezoning","Approved","MCSHAY COMMUNITIES, INC.",,"RZ   2012-MV-015",
"08/02/2012","RZ-2011-PR-011","Rezoning","Approved","CITYLINE PARTNERS LLC","7600 COLSHIRE DR MCLEAN, VA 221027603","RZ   2011-PR-011",
