"Submitted/ Initiated","Record Number (xxTMP records have not been submitted)","Record Type","Status","Project Name","Address","Original Application",
"12/22/2015","RZ-2016-DR-001","Rezoning","Approved","NVR, INC.","13204 WOODLAND PARK RD HERNDON, VA 201713000","RZ   2016-DR-001",
"12/11/2015","RZ-2015-MA-018","Rezoning","Approved","BOARD OF SUPERVISORS OF FAIRFAX COUNTY, VIRGINIA","3101 HODGE PL FALLS CHURCH, VA 220422509","RZ   2015-MA-018",
"12/07/2015","RZ-2016-MV-002","Rezoning","Approved","NOVUS PROPERTY HOLDINGS LLC","6329 RICHMOND HY ALEXANDRIA, VA 223066410","RZ   2016-MV-002",
"11/03/2015","RZ-2010-PR-023","Rezoning","Approved","THE MITRE CORPORATION","7598 COLSHIRE DR MCLEAN, VA 221027508","RZ   2010-PR-023",
"09/29/2015","RZ-2015-PR-016","Rezoning","Approved","BEYER I LIMITED LIABILITY COMPANY","118 GORDONS RD FALLS CHURCH, VA 22046","RZ   2015-PR-016",
"09/25/2015","RZ-2015-PR-014_SUP1","Rezoning","Superseded","1690 OLD MEADOW HOLDINGS, LLC","1690 OLD MEADOW RD MC LEAN, VA 221024305","RZ   2015-PR-014",
"09/25/2015","RZ-2015-PR-017","Rezoning","Approved","FP TYSONS I, LLC",,"RZ   2015-PR-017",
"09/04/2015","RZ-2015-SP-007","Rezoning","Approved","MRD PROPERTIES, LLC","13006 WESTBROOK DR FAIRFAX, VA 220300000","RZ   2015-SP-007",
"09/04/2015","RZ-2015-MV-015_SUP1","Rezoning","Superseded","L & F BOCK FARM, LLC",,"RZ   2015-MV-015",
"07/16/2015","RZ-2015-HM-010","Rezoning","Approved","CHRISTOPHER W. WARNER AND MARY J. WARNER","9717 CLARKS CROSSING RD VIENNA, VA 221821931","RZ   2015-HM-010",
"07/10/2015","RZ-2015-HM-013","Rezoning","Approved","WIEHLE STATION VENTURES, LLC","1913 ASSOCIATION DR RESTON, VA 201911501","RZ   2015-HM-013",
"06/10/2015","RZ-2015-HM-011","Rezoning","Approved","CESC COMMERCE EXECUTIVE PARK, L.L.C.","1850 CENTENNIAL PARK DR RESTON, VA 201911517","RZ   2015-HM-011",
"06/10/2015","RZ-2015-DR-009","Rezoning","Approved","GULICK GROUP, INC.",,"RZ   2015-DR-009",
"06/05/2015","RZ-2016-BR-013","Rezoning","Approved","MHI-HERITAGE, LLC & BRISTOW SHOPPING CTR LTD","7899 HERITAGE DR ANNANDALE, VA 220035349","RZ   2016-BR-013",
"06/04/2015","RZ-2015-MV-008","Rezoning","Withdrawn","LENNAR MULTIFAMILY COMMUNITIES, LLC","5694 STEPHANIE TESSA WY ALEXANDRIA, VA 22303","RZ   2015-MV-008",
"06/04/2015","RZ-2015-HM-012","Rezoning","Approved","SEKAS HOMES, LTD","1951 RESTON VALLEY WY RESTON, VA 20191","RZ   2015-HM-012",
"05/08/2015","RZ-2015-SP-007_SUP1","Rezoning","Superseded","MRD PROPERTIES, LLC","13006 WESTBROOK DR FAIRFAX, VA 220300000","RZ   2015-SP-007",
"03/25/2015","RZ-2015-PR-006_SUP1","Rezoning","Superseded","INTERNATIONAL PLACE AT TYSONS, LLC AND 8133 LEESBURG PIKE LLC","8226 BOONE BV VIENNA, VA 221822603","RZ   2015-PR-006",
"03/12/2015","RZ-2015-HM-005","Rezoning","Approved","PULTE HOME CORPORATION","1873 MICHAEL FARADAY DR RESTON, VA 20190","RZ   2015-HM-005",
"03/11/2015","RZ-2015-SP-004","Rezoning","Approved","CHRISTOPHER LAND, LLC","12733 LEE HY FAIRFAX, VA 220306516","RZ   2015-SP-004",
"02/19/2015","RZ-2015-SP-003","Rezoning","Approved","THE TOWNES AT BURKE LAKE CROSSING LLC","9537 BURKE LAKE RD BURKE, VA 220153157","RZ   2015-SP-003",
"02/11/2015","RZ-2014-LE-010","Rezoning","Approved","PINEY RUN ELM INVESTMENTS LC","7912 TELEGRAPH RD ALEXANDRIA, VA 223153703","RZ   2014-LE-010",
