"Submitted/ Initiated","Record Number (xxTMP records have not been submitted)","Record Type","Status","Project Name","Address","Original Application",
"12/24/2019","RZ-2020-SU-002_SUP1","Rezoning","Superseded","MATAN GLORUS ROAD, LLC","3720 GLORUS RD CHANTILLY, VA 201510000","RZ   2020-SU-002",
"12/20/2019","RZ-2019-LE-015","Rezoning","Approved","TPC VAN DORN LC","5910 MCGUIN DR ALEXANDRIA, VA 223100000","RZ   2019-LE-015",
"12/09/2019","RZ-2020-PR-004","Rezoning","Approved","MERRILEE VENTURES, L.C.","2724 MERRILEE DR FAIRFAX, VA 220314408","RZ   2020-PR-004",
"12/05/2019","RZ-2016-0186","Rezoning","Returned","MICHAEL F. AND CAROL J. FLAHERTY","1707 DREWLAINE DR VIENNA, VA 221822102","RZ   2016-0186",
"11/22/2019","RZ-2020-BR-001","Rezoning","Approved","CHRISTOPHER LAND, LLC","9817 BRADDOCK RD FAIRFAX, VA 22032 United States","RZ   2020-BR-001",
"09/19/2019","RZ-2019-SU-021_SUP1","Rezoning","Superseded","BLUE KNOB INVESTORS, LLC",,"RZ   2019-SU-021",
"09/18/2019","RZ-2020-BR-003","Rezoning","Approved","PS SOUTHEAST ONE, INC.","11332 LEE HWY FAIRFAX, VA 22030 United States","RZ   2020-BR-003",
"09/16/2019","RZ-2019-BR-019","Rezoning","Approved","CONLEY DEVELOPMENT, LLC","4028 OLLEY LA FAIRFAX, VA 220321322","RZ   2019-BR-019",
"09/11/2019","RZ-2019-HM-016","Rezoning","Approved","CHRISTOPHER LAND, LLC","2711 FLORIS LA HERNDON, VA 201713608","RZ   2019-HM-016",
"09/10/2019","RZ-2019-PR-017","Rezoning","Approved","TAMARES 7950 OWNER LLC","7950 JONES BRANCH DR MCLEAN, VA 22102","RZ   2019-PR-017",
"08/30/2019","RZ-2019-LE-015_SUP1","Rezoning","Superseded","TPC VAN DORN LC","5910 MCGUIN DR ALEXANDRIA, VA 223100000","RZ   2019-LE-015",
"08/21/2019","RZ-2019-SP-014","Rezoning","Approved","BRIGHTVIEW SENIOR LIVING DEVELOPMENT, LLC",,"RZ   2019-SP-014",
"08/20/2019","RZ-2021-LE-005","Rezoning","Approved","SELECT PROPERTY, LLC","5630 SOUTH VAN DORN ST ALEXANDRIA, VA 223101021","RZ   2021-LE-005",
"08/15/2019","RZ-2019-SP-006","Rezoning","Approved","CHRISTOPHER LAND, LLC","8547 TUTTLE RD SPRINGFIELD, VA 221521508","RZ   2019-SP-006",
"08/02/2019","RZ-2019-LE-012","Rezoning","Approved","BRIGHTVIEW SENIOR LIVING DEVELOPMENT, LLC","6507 TELEGRAPH RD ALEXANDRIA, VA 223103324","RZ   2019-LE-012",
"07/30/2019","RZ-2019-DR-013","Rezoning","Approved","MARGARET F. AHBE, TRUSTEE","8801 LEESBURG PI VIENNA, VA 221821718","RZ   2019-DR-013",
"07/19/2019","RZ-2019-MA-018_SUP1","Rezoning","Superseded","CHRISTOPHER LAND, LLC","7417 MCWHORTER PL ANNANDALE, VA 220035609","RZ   2019-MA-018",
"06/18/2019","RZ-2019-HM-011_SUP1","Rezoning","Superseded","SAKTHIVEL CHINNASAMY AND NANDAKUMAR SREENIVASAN","8910 OLD COURTHOUSE RD VIENNA, VA 221822149","RZ   2019-HM-011",
"06/05/2019","RZ-2020-MA-012","Rezoning","Approved","RADLEY MANAGEMENT, LLC","3518 WILLIAMS LN FALLS CHURCH, VA 22041 United States","RZ   2020-MA-012",
"05/30/2019","RZ-2019-SU-020_SUP1","Rezoning","Superseded","EB ALBEMARLE, LLC AND BUCHANAN PARTNERS LLC","14531 LEE RD CHANTILLY, VA 201511603","RZ   2019-SU-020",
"03/20/2019","RZ-2019-PR-008","Rezoning","Deferred Indefinitely","TOLL MID-ATLANTIC LP COMPANY, INC.","7426 IDYLWOOD RD FALLS CHURCH, VA 220432915","RZ   2019-PR-008",
"03/08/2019","RZ-2019-SU-010","Rezoning","Approved","K. HOVNANIAN AT THE BOULEVARDS AT WESTFIELDS, LLC",,"RZ   2019-SU-010",
"03/06/2019","RZ-2019-BR-007","Rezoning","Approved","VIRENDRA BERY AND AMIT BERY","9730 MAURY RD FAIRFAX, VA 220322835","RZ   2019-BR-007",
"03/04/2019","RZ-2019-PR-004","Rezoning","In Review","TYSONS MK, LLC AND TYSONS MK II, LLC","8526 LEESBURG PIKE VIENNA, VA 22182 United States","RZ   2019-PR-004",
"02/21/2019","RZ-2019-SU-005","Rezoning","Approved","STANLEY MARTIN COMPANIES, LLC","14226 NEWBROOK DR CHANTILLY, VA 20151","RZ   2019-SU-005",
"02/21/2019","RZ-2019-SP-006_SUP1","Rezoning","Superseded","CHRISTOPHER LAND, LLC","8547 TUTTLE RD SPRINGFIELD, VA 221521508","RZ   2019-SP-006",
"01/25/2019","RZ-2007-SP-013","Rezoning","Approved","E. JAMES AND ANNE R. SOUVAGIS","12820 WESTBROOK DR FAIRFAX, VA 220300000","RZ   2007-SP-013",
"01/18/2019","RZ-2019-SU-009","Rezoning","Approved","ELM STREET COMMUNITIES, INC.",,"RZ   2019-SU-009",
