"Submitted/ Initiated","Record Number (xxTMP records have not been submitted)","Record Type","Status","Project Name","Address","Original Application",
"12/24/2020","RZ-2021-SU-003","Rezoning","Approved","PARKSTONE TECH PARK, LLC",,"RZ   2021-SU-003",
"12/17/2020","RZ-2021-MV-004","Rezoning","Approved","MARIE J. AND PAUL L. CHARLES","8805C LUKENS LN ALEXANDRIA, VA 22309 United States","RZ   2021-MV-004",
"12/16/2020","RZ-2021-DR-006","Rezoning","Approved","7700-4 LEESBURG PIKE ASSOCIATES, LLC and 7700 HOMES ASSOCIATES LLC","7704 LEESBURG PIKE FALLS CHURCH, VA 22043 United States","RZ   2021-DR-006",
"10/30/2020","RZ-2020-MV-017","Rezoning","Approved","CHRISTOPHER LAND, LLC","8708 SILVERBROOK RD LORTON, VA 22079 United States","RZ   2020-MV-017",
"10/20/2020","RZ-2020-BR-016","Rezoning","Approved","TRUSTEES OF ANNANDALE UNITED METHODIST CHURCH","7901 HERITAGE DR ANNANDALE, VA 22003 United States","RZ   2020-BR-016",
"09/08/2020","RZ-2020-SU-014","Rezoning","Approved","TRUSTEES OF FAIRFAX CHURCH OF CHRIST","3901 RUGBY RD FAIRFAX, VA 22033 United States","RZ   2020-SU-014",
"08/28/2020","RZ-2020-PR-015","Rezoning","Deferred Indefinitely","A&A FLINT HILL FOUR LLC AND A&A FLINT HILL ONE LLC","10530 ROSEHAVEN ST FAIRFAX, VA 22030 United States","RZ   2020-PR-015",
"08/24/2020","RZ-2021-LE-002","Rezoning","Approved","THE BOARD OF SUPERVISORS OF FAIRFAX COUNTY",,"RZ   2021-LE-002",
"08/12/2020","RZ-2019-SU-020","Rezoning","Approved","EB ALBEMARLE, LLC","14531 LEE RD CHANTILLY, VA 201511603","RZ   2019-SU-020",
"08/12/2020","RZ-2019-SU-003","Rezoning","Approved","BUCHANAN PARTNERS, LLC","14531 LEE RD CHANTILLY, VA 201511603","RZ   2019-SU-003",
"08/05/2020","RZ-2020-LE-013","Rezoning","Approved","LEE AUTOMOTIVE, L.C.","7616 BACKLICK RD SPRINGFIELD, VA 221502203","RZ   2020-LE-013",
"06/17/2020","RZ-2020-SU-002","Rezoning","Approved","MATAN GLORUS ROAD, LLC","3720 GLORUS RD CHANTILLY, VA 201510000","RZ   2020-SU-002",
"06/02/2020","RZ-2019-MA-018","Rezoning","Approved","CHRISTOPHER LAND, LLC","7417 MCWHORTER PL ANNANDALE, VA 220035609","RZ   2019-MA-018",
"05/22/2020","RZ-2020-PR-011","Rezoning","In Review","HUNSI R. SAFSAF, TR. AND HOWIDA A. DIAB, TR.","2301 MORGAN LN DUNN LORING, VA 22027 United States","RZ   2020-PR-011",
"05/07/2020","RZ-2020-BR-010","Rezoning","Withdrawn","SWAROOP VENUMBAKA, RAKESH R. NAGILLA, VINOD R. PRAKASH","4525 GUINEA RD ANNANDALE, VA 220033926","RZ   2020-BR-010",
"05/07/2020","RZ-2021-SU-016","Rezoning","Approved","STONECROFT LEE, LLC","3612 STONECROFT BLVD CHANTILLY, VA 20151 United States","RZ   2020-0092",
"04/03/2020","RZ-2020-PR-009","Rezoning","Approved","TMG 8400 WESTPARK DRIVE, L.P.","8400 WESTPARK DR MCLEAN, VA 22102 United States","RZ   2020-PR-009",
"04/03/2020","RZ-2020-PR-008","Rezoning","Approved","WESTPARK CORPORATE CENTER, L.L.C.","8444 WESTPARK DR MCLEAN, VA 22102 United States","RZ   2020-PR-008",
"03/10/2020","RZ-2020-SU-006","Rezoning","Approved","CAPE THERESA, LLC","14840 MURDOCK ST CHANTILLY, VA 201511019","RZ   2020-SU-006",
"03/05/2020","RZ-2019-SU-021","Rezoning","Approved","BLUE KNOB INVESTORS, LLC",,"RZ   2019-SU-021",
"02/25/2020","RZ-2020-PR-007","Rezoning","Approved","SCOTT W. DOWNING & MARY CONSTANCE DOWNING","2847 HUNTER RD FAIRFAX, VA 220311437","RZ   2020-PR-007",
"02/20/2020","RZ-2015-PR-014","Rezoning","Approved","1690 OLD MEADOW HOLDINGS, LLC","1690 OLD MEADOW RD MC LEAN, VA 221024305","RZ   2015-PR-014",
"02/18/2020","RZ-2020-SU-005","Rezoning","Deferred Indefinitely","A & A CONTRACTING, INC.",,"RZ   2020-SU-005",
