"Submitted/ Initiated","Record Number (xxTMP records have not been submitted)","Record Type","Status","Project Name","Address","Original Application",
"12/20/2018","RZ-2019-PR-001","Rezoning","Approved","TOLL MID-ATLANTIC LP COMPANY, INC.","8915 LEE HY FAIRFAX, VA 220311439","RZ   2019-PR-001",
"12/18/2018","RZ-2017-BR-030","Rezoning","Approved","ROBERTS ROAD INVESTMENT LC","4621 ROBERTS RD FAIRFAX, VA 220323613","RZ   2017-BR-030",
"12/18/2018","RZ-2019-SU-002","Rezoning","Approved","JDA CUSTOM HOMES, INC.","3126 WEST OX RD HERNDON, VA 201711908","RZ   2019-SU-002",
"12/06/2018","RZ-2018-BR-026","Rezoning","Approved","ERICKSON LIVING AT BRADDOCK ROAD LLC","9925 BRADDOCK RD FAIRFAX, VA 220321904","RZ   2018-BR-026",
"11/21/2018","RZ-2019-SU-003_SUP1","Rezoning","Superseded","BUCHANAN PARTNERS, LLC","14531 LEE RD CHANTILLY, VA 201511603","RZ   2019-SU-003",
"10/29/2018","RZ-2018-PR-024","Rezoning","Approved","WILLIAMS MEADOW, L.C.","2747 SUTTON RD VIENNA, VA 221816107","RZ   2018-PR-024",
"10/03/2018","RZ-2018-BR-025","Rezoning","Approved","ONE UNIVERSITY DEVELOPMENT PARTNERS, LLC","4530 UNIVERSITY DR FAIRFAX, VA 220304431","RZ   2018-BR-025",
"10/03/2018","RZ-2018-SU-023","Rezoning","Approved","POHANKA VIRGINIA PROPERTIES, LLC","4000 ELMWOOD ST CHANTILLY, VA 201512938","RZ   2018-SU-023",
"08/20/2018","RZ-2018-HM-020","Rezoning","Approved","APA PROPERTIES NO. 6, L.P.","1943 ISAAC NEWTON E SQ RESTON, VA 201900000","RZ   2018-HM-020",
"08/03/2018","RZ-2018-HM-019","Rezoning","Withdrawn","FOULGER-PRATT DEVELOPMENT, LLC","1908 ASSOCIATION DR RESTON, VA 20191 United States","RZ   2018-HM-019",
"07/27/2018","RZ-2007-SP-013_SUP2","Rezoning","Superseded","E. JAMES AND ANNE R. SOUVAGIS","12820 WESTBROOK DR FAIRFAX, VA 220300000","RZ   2007-SP-013",
"06/25/2018","RZ-2018-PR-017","Rezoning","Withdrawn","TYSONS PARK PLACE II LLC AND TYSONS PARK, INC.","7926 JONES BRANCH DR MCLEAN, VA 22102 United States","RZ   2018-PR-017",
"06/20/2018","RZ-2018-LE-014","Rezoning","Approved","THE BOARD OF SUPERVISORS OF FAIRFAX COUNTY, VIRGINIA","6318 GROVEDALE DR ALEXANDRIA, VA 223102502","RZ   2018-LE-014",
"06/11/2018","RZ-2018-PR-022","Rezoning","Approved","GEORGELAS, LLC","8604 LEESBURG PI VIENNA, VA 221822225","RZ   2018-PR-022",
"06/11/2018","RZ-2018-PR-021","Rezoning","Approved","GEORGELAS, LLC","8504 TYCO RD STE D VIENNA, VA 221822251","RZ   2018-PR-021",
"05/31/2018","RZ-2018-PR-015","Rezoning","Approved","1500 WESTBRANCH HOLDINGS, LLC","1500 WESTBRANCH DR MCLEAN, VA 221023202","RZ   2018-PR-015",
"05/29/2018","RZ-2018-DR-018","Rezoning","Approved","L&F FRYING PAN, LLC","13717 FRYING PAN RD HERNDON, VA 201713107","RZ   2018-DR-018",
"05/01/2018","RZ-2017-PR-010","Rezoning","Approved","TYSONS DEVELOPMENT LLC","8590 LEESBURG PI VIENNA, VA 221822213","RZ   2017-PR-010",
"04/17/2018","RZ-2018-PR-011","Rezoning","Approved","CROWN TYSONS PROPERTIES LLC","8600 LEESBURG PI VIENNA, VA 221822225","RZ   2018-PR-011",
"03/30/2018","RZ-2018-PR-010","Rezoning","Approved","JRS@TYSONS, LLC","8134 WATSON ST MC LEAN, VA 221024405","RZ   2018-PR-010",
"03/08/2018","RZ-2018-SU-016","Rezoning","Approved","PAG CHANTILLY P1, LLC","4055 STONECROFT BV CHANTILLY, VA 20151","RZ   2018-SU-016",
"02/28/2018","RZ-2018-PR-013","Rezoning","Approved","WHITE GRANITE ASSOCIATES LLC","10401 WHITE GRANITE DR OAKTON, VA 221242739","RZ   2018-PR-013",
"02/08/2018","RZ-2016-PR-023","Rezoning","Approved","ROBERT H. PEARSON, JR., R.H. PEARSON, INC. AND HOWARD WALLACH, TRUSTEE FOR THE WALLACH LIVING","2116 HANEY LA VIENNA, VA 221820000","RZ   2016-PR-023",
"02/07/2018","RZ-2018-SU-008","Rezoning","Approved","K. HOVNANIAN HOMES AT PENDER OAKS, LLC","3901 FAIR RIDGE DR FAIRFAX, VA 220332906","RZ   2018-SU-008",
"02/05/2018","RZ-2018-MV-007","Rezoning","Deferred Indefinitely","LAFAYETTE BUILDING LLC","1302 LAFAYETTE DR ALEXANDRIA, VA 223081106","RZ   2018-MV-007",
"02/01/2018","RZ-2018-MV-012","Rezoning","Approved","FAIRFAX COUNTY DPWES CAP BDCD","8707 LUKENS LA ALEXANDRIA, VA 223094103","RZ   2018-MV-012",
"01/24/2018","RZ-2018-MV-006","Rezoning","Approved","NRP HUNTINGTON, LLC","5694 STEPHANIE TESSA WY ALEXANDRIA, VA 22303","RZ   2018-MV-006",
"01/12/2018","RZ-2006-HM-004","Rezoning","Approved","DANIEL W. MCKINNON","9433 OLD COURTHOUSE RD VIENNA, VA 221822052","RZ   2006-HM-004",
"01/03/2018","RZ-2018-0004","Rezoning","Returned","POMEROY/CLARK I LLC","13900 FRYING PAN RD HERNDON, VA 201713104","RZ   2018-0004",
