"Submitted/ Initiated","Record Number (xxTMP records have not been submitted)","Record Type","Status","Project Name","Address","Original Application",
"12/21/2017","RZ-2018-MD-003","Rezoning","Dismissed","BRANDYWINDE OPERATING PARTNERSHIP, L.P. AND BOI-HERNDON TRUST","2291 WOOD OAK DR HERNDON, VA 20171","RZ   2018-MD-003",
"12/08/2017","RZ-2018-HM-002","Rezoning","Approved","RESTON CROSSING, L.P.","2003 EDMUND HALLEY DR RESTON, VA 20191","RZ   2018-HM-002",
"11/28/2017","RZ-2018-SP-001","Rezoning","Approved","JAG DEVELOPMENT COMPANY, LLC","4108 LEGATO RD FAIRFAX, VA 220334002","RZ   2018-SP-001",
"11/21/2017","RZ-2018-MV-005","Rezoning","Approved","IDI HUNTINGTON, L.C.",,"RZ   2018-MV-005",
"11/14/2017","RZ-2018-HM-004","Rezoning","Approved","AG-ARC RESTON 1 OWNER LLC, AG-ARC RESTON 2 OWNER LLC, AG-ARC RESTON 3 OWNER LLC","12007 SUNRISE VALLEY DR RESTON, VA 201913446","RZ   2018-HM-004",
"11/07/2017","RZ-2017-PR-033","Rezoning","Withdrawn","RESTON HOSPITAL CENTER, LLC","2000 OLD GALLOWS RD VIENNA, VA 221823948","RZ   2017-PR-033",
"10/24/2017","RZ-2015-PR-014_SUP2","Rezoning","Superseded","1690 OLD MEADOW HOLDINGS, LLC","1690 OLD MEADOW RD MC LEAN, VA 221024305","RZ   2015-PR-014",
"10/16/2017","RZ-2016-HM-035","Rezoning","Approved","CRS SUNSET HILLS, LC","1908 RESTON METRO PZ RESTON, VA 20190","RZ   2016-HM-035",
"10/06/2017","RZ-2017-BR-030_SUP1","Rezoning","Superseded","ROBERTS ROAD INVESTMENT LC","4621 ROBERTS RD FAIRFAX, VA 220323613","RZ   2017-BR-030",
"09/22/2017","RZ-2017-SP-029","Rezoning","Approved","CHRISTOPHER LAND, LLC","7851 MARITIME LA SPRINGFIELD, VA 221530000","RZ   2017-SP-029",
"09/19/2017","RZ-2017-PR-031","Rezoning","Approved","SUNRISE DEVELOPMENT, INC. AND J127 EDUCATION FOUNDATION D/B/A MERRITT ACADEMY","9211 ARLINGTON BV FAIRFAX, VA 22031","RZ   2017-PR-031",
"09/05/2017","RZ-2017-HM-032","Rezoning","Approved","CORESITE REAL ESTATE SUNRISE TECHNOLOGY PARK, LLC","12379 SUNRISE VALLEY DR RESTON, VA 20191","RZ   2017-HM-032",
"08/09/2017","RZ-2017-0283","Rezoning","Returned","CHRISTOPHER LAND LLC","7851 MARITIME LA SPRINGFIELD, VA 221530000","RZ   2017-0283",
"08/07/2017","RZ-2016-MV-028","Rezoning","Approved","L&F WORKHOUSE, LLC","8940 WORKHOUSE RD LORTON, VA 22079","RZ   2016-MV-028",
"07/21/2017","RZ-2017-DR-026","Rezoning","Approved","BENCHMARK ASSOCIATES, L.P.","6707 OLD DOMINION DR MC LEAN, VA 221014503","RZ   2017-DR-026",
"07/14/2017","RZ-2017-SU-025","Rezoning","Approved","JSF MANAGEMENT LLC","5890 FORT DR CENTREVILLE, VA 20121","RZ   2017-SU-025",
"07/12/2017","RZ-2016-HM-035_SUP2","Rezoning","Superseded","CRS SUNSET HILLS, LC","1908 RESTON METRO PZ RESTON, VA 20190","RZ   2016-HM-035",
"07/07/2017","RZ-2017-LE-022","Rezoning","Approved","SPRINGFIELD GATEWAY, LLC","6954 SPRINGFIELD BV SPRINGFIELD, VA 221502810","RZ   2017-LE-022",
"07/05/2017","RZ-2017-PR-021","Rezoning","In Review","8500 CDC L.P.","8500 LEESBURG PIKE VIENNA, VA 22182 United States","RZ   2017-PR-021",
"07/05/2017","RZ-2017-MV-024","Rezoning","Approved","EASTWOOD PROPERTIES, INC.","8423 SKY VIEW DR ALEXANDRIA, VA 223098413","RZ   2017-MV-024",
"06/30/2017","RZ-2017-MD-027","Rezoning","Approved","HORSEPEN RUN, LLC","13801 FRYING PAN RD HERNDON, VA 201713105","RZ   2017-MD-027",
"06/23/2017","RZ-2017-DR-023","Rezoning","Approved","TRADITION HOMES, LLC","1521 DRANESVILLE RD HERNDON, VA 201702504","RZ   2017-DR-023",
"06/05/2017","RZ-2017-HM-020","Rezoning","In Review","INOVA  HEALTH CARE SERVICES AND THE BOARD OF SUPERVISORS OF FAIRFAX COUNTY","1778 FOUNTAIN DR RESTON, VA 20190 United States","RZ   2017-HM-020",
"05/24/2017","RZ-2017-HM-019","Rezoning","Approved","TH HOLDING COMPANY LLC","1741 BUSINESS CENTER DR RESTON, VA 20190","RZ   2017-HM-019",
"05/15/2017","RZ-2016-MA-029","Rezoning","Approved","ARCLAND PROPERTY COMPANY, LLC","5415 INDUSTRIAL DR SPRINGFIELD, VA 221514406","RZ   2016-MA-029",
"05/12/2017","RZ-2017-DR-014","Rezoning","Approved","JLB DULLES TECH LLC",,"RZ   2017-DR-014",
